NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04', 'Class_1': 98.72156862745098, 'Class_2': 96.43137254901961, 'Class_3': 121.54509803921569, 'Class_4': 231.2, 'Class_5': 344.06666666666666, 'Class_6': 366.45490196078435, 'Class_7': 346.6235294117647, 'Class_8': 295.18823529411765, 'Class_9': 184.43529411764706, 'Class_10': 66.75686274509803}","{'Date': '2017-04', 'Class_1': 197.06666666666666, 'Class_2': 1240.7176470588236, 'Class_3': 307.243137254902, 'Class_4': 138.9333333333333, 'Class_5': 215.49803921568625, 'Class_6': 46.964705882352945, 'Class_7': 2, 'Class_8': 2, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-04', 'Class_1': 2, 'Class_2': 19, 'Class_3': 116.91372549019609, 'Class_4': 100.61960784313723, 'Class_5': 79.51372549019607, 'Class_6': 130.6627450980392, 'Class_7': 276.58039215686273, 'Class_8': 392.56078431372543, 'Class_9': 478.1098039215685, 'Class_10': 555.4627450980391}","{'Date': '2017-04', 'Class_1': 0, 'Class_2': 2, 'Class_3': 0, 'Class_4': 0, 'Class_5': 0, 'Class_6': 32, 'Class_7': 162.19607843137254, 'Class_8': 145.59607843137255, 'Class_9': 635.2823529411764, 'Class_10': 1174.3490196078435}","{'Date': '2017-04', 'Class_1': 5.964705882352941, 'Class_2': 1, 'Class_3': 10, 'Class_4': 53.949019607843134, 'Class_5': 54.96862745098039, 'Class_6': 45.517647058823535, 'Class_7': 20.772549019607844, 'Class_8': 24.941176470588236, 'Class_9': 41.47450980392157, 'Class_10': 117.14117647058823}","{'Date': '2017-04', 'Class_1': 253.20784313725488, 'Class_2': 20.905882352941177, 'Class_3': 15.968627450980392, 'Class_4': 17, 'Class_5': 88.8549019607843, 'Class_6': 265.2431372549019, 'Class_7': 407.53725490196086, 'Class_8': 431.73333333333335, 'Class_9': 353.54117647058825, 'Class_10': 281.46666666666664}","{'Date': '2017-04', 'Class_1': 15.501960784313724, 'Class_2': 350.4862745098038, 'Class_3': 290.9960784313725, 'Class_4': 895.2509803921567, 'Class_5': 352.20784313725494, 'Class_6': 241.98039215686273, 'Class_7': 4, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-05', 'Class_1': 98.68235294117648, 'Class_2': 71.94117647058823, 'Class_3': 76.50196078431372, 'Class_4': 79.28627450980392, 'Class_5': 122.90588235294118, 'Class_6': 270.08627450980384, 'Class_7': 583.2941176470589, 'Class_8': 590.3254901960782, 'Class_9': 290.3333333333333, 'Class_10': 61.53333333333333}","{'Date': '2017-05', 'Class_1': 186.28235294117647, 'Class_2': 1593.3098039215695, 'Class_3': 160.44313725490193, 'Class_4': 62.34901960784313, 'Class_5': 200.50588235294117, 'Class_6': 34, 'Class_7': 7, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-05', 'Class_1': 2, 'Class_2': 30, 'Class_3': 122.87843137254902, 'Class_4': 68.27450980392156, 'Class_5': 45.843137254901954, 'Class_6': 47.847058823529416, 'Class_7': 99.03921568627452, 'Class_8': 239.7176470588235, 'Class_9': 611.9215686274508, 'Class_10': 977.3686274509802}","{'Date': '2017-05', 'Class_1': 1, 'Class_2': 0, 'Class_3': 1, 'Class_4': 0, 'Class_5': 3, 'Class_6': 37, 'Class_7': 155.3882352941176, 'Class_8': 81.5764705882353, 'Class_9': 259.4313725490196, 'Class_10': 1706.4941176470597}","{'Date': '2017-05', 'Class_1': 3, 'Class_2': 3, 'Class_3': 27.949019607843137, 'Class_4': 71.96862745098039, 'Class_5': 42.94509803921569, 'Class_6': 28.941176470588236, 'Class_7': 23.23137254901961, 'Class_8': 18.941176470588236, 'Class_9': 15.486274509803922, 'Class_10': 48.603921568627456}","{'Date': '2017-05', 'Class_1': 199.13725490196077, 'Class_2': 13, 'Class_3': 13.941176470588236, 'Class_4': 15, 'Class_5': 19.968627450980392, 'Class_6': 129.52156862745096, 'Class_7': 365.38431372549013, 'Class_8': 630.8666666666667, 'Class_9': 422.9803921568627, 'Class_10': 403.1725490196078}","{'Date': '2017-05', 'Class_1': 4, 'Class_2': 488.964705882353, 'Class_3': 597.3058823529411, 'Class_4': 844.0078431372547, 'Class_5': 133.1333333333333, 'Class_6': 174.47843137254898, 'Class_7': 2, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-06', 'Class_1': 27.862745098039216, 'Class_2': 49, 'Class_3': 77.93725490196078, 'Class_4': 73.65490196078431, 'Class_5': 108.25490196078432, 'Class_6': 189.74117647058824, 'Class_7': 318.96078431372547, 'Class_8': 817.9686274509801, 'Class_9': 498.16078431372546, 'Class_10': 81.34901960784313}","{'Date': '2017-06', 'Class_1': 417.0705882352941, 'Class_2': 1435.380392156864, 'Class_3': 158.3176470588235, 'Class_4': 90.25882352941177, 'Class_5': 96.31764705882352, 'Class_6': 34.54509803921569, 'Class_7': 4, 'Class_8': 5, 'Class_9': 1, 'Class_10': 1}","{'Date': '2017-06', 'Class_1': 5, 'Class_2': 31, 'Class_3': 36.42745098039216, 'Class_4': 50.93333333333334, 'Class_5': 62.435294117647054, 'Class_6': 66.45490196078433, 'Class_7': 97.89411764705882, 'Class_8': 195.5137254901961, 'Class_9': 448.14901960784306, 'Class_10': 1249.0823529411766}","{'Date': '2017-06', 'Class_1': 0, 'Class_2': 1, 'Class_3': 0, 'Class_4': 2, 'Class_5': 0, 'Class_6': 34, 'Class_7': 57.37647058823529, 'Class_8': 106.25098039215686, 'Class_9': 251.57254901960783, 'Class_10': 1788.6901960784326}","{'Date': '2017-06', 'Class_1': 6, 'Class_2': 3, 'Class_3': 11, 'Class_4': 24.88235294117647, 'Class_5': 19.984313725490196, 'Class_6': 19, 'Class_7': 16.980392156862745, 'Class_8': 21.545098039215688, 'Class_9': 27.949019607843137, 'Class_10': 62.45882352941177}","{'Date': '2017-06', 'Class_1': 141.7960784313725, 'Class_2': 12, 'Class_3': 9, 'Class_4': 8, 'Class_5': 32.79607843137255, 'Class_6': 80.2627450980392, 'Class_7': 319.4078431372548, 'Class_8': 733.7294117647059, 'Class_9': 446.2588235294117, 'Class_10': 450.63921568627455}","{'Date': '2017-06', 'Class_1': 37.34901960784313, 'Class_2': 720.8078431372551, 'Class_3': 695.7019607843134, 'Class_4': 579.8980392156863, 'Class_5': 133.26666666666665, 'Class_6': 70.86666666666666, 'Class_7': 4, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-07', 'Class_1': 39.4156862745098, 'Class_2': 106.3921568627451, 'Class_3': 170.69411764705885, 'Class_4': 198.12941176470585, 'Class_5': 172.52156862745096, 'Class_6': 219.39215686274505, 'Class_7': 364.13333333333327, 'Class_8': 738.6156862745095, 'Class_9': 236.59607843137252, 'Class_10': 1}","{'Date': '2017-07', 'Class_1': 392.2352941176471, 'Class_2': 1098.3019607843135, 'Class_3': 205.21568627450978, 'Class_4': 245.70980392156864, 'Class_5': 255.4274509803922, 'Class_6': 37, 'Class_7': 9, 'Class_8': 3, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-07', 'Class_1': 4, 'Class_2': 29, 'Class_3': 118.7764705882353, 'Class_4': 147.74509803921566, 'Class_5': 178.9764705882353, 'Class_6': 134.03529411764706, 'Class_7': 104.17254901960784, 'Class_8': 147.31372549019608, 'Class_9': 306.7568627450979, 'Class_10': 1076.1137254901957}","{'Date': '2017-07', 'Class_1': 1, 'Class_2': 0, 'Class_3': 1, 'Class_4': 1, 'Class_5': 2, 'Class_6': 32, 'Class_7': 187.25490196078434, 'Class_8': 287.2431372549019, 'Class_9': 292.2039215686274, 'Class_10': 1442.1882352941182}","{'Date': '2017-07', 'Class_1': 8, 'Class_2': 6, 'Class_3': 16, 'Class_4': 59.08235294117647, 'Class_5': 67.33725490196078, 'Class_6': 74.76470588235294, 'Class_7': 84.87058823529412, 'Class_8': 80.0156862745098, 'Class_9': 59.94901960784314, 'Class_10': 85.01176470588236}","{'Date': '2017-07', 'Class_1': 145.1921568627451, 'Class_2': 106.53725490196078, 'Class_3': 129.71764705882353, 'Class_4': 65.30196078431372, 'Class_5': 66.35686274509804, 'Class_6': 179.59999999999997, 'Class_7': 527.5803921568627, 'Class_8': 683.7764705882353, 'Class_9': 288.40000000000003, 'Class_10': 49.42745098039215}","{'Date': '2017-07', 'Class_1': 0, 'Class_2': 266.1647058823529, 'Class_3': 703.8274509803919, 'Class_4': 744.427450980392, 'Class_5': 276.51764705882346, 'Class_6': 245.23137254901962, 'Class_7': 7.7215686274509805, 'Class_8': 2, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-08', 'Class_1': 264.54117647058825, 'Class_2': 154.42745098039217, 'Class_3': 111.97254901960784, 'Class_4': 104.93725490196078, 'Class_5': 123.58039215686276, 'Class_6': 151.51764705882354, 'Class_7': 291.7294117647058, 'Class_8': 704.0823529411764, 'Class_9': 328.2784313725489, 'Class_10': 8}","{'Date': '2017-08', 'Class_1': 659.913725490196, 'Class_2': 841.1607843137252, 'Class_3': 174.48235294117646, 'Class_4': 142.00000000000003, 'Class_5': 384.50980392156856, 'Class_6': 30, 'Class_7': 1, 'Class_8': 4, 'Class_9': 4, 'Class_10': 2}","{'Date': '2017-08', 'Class_1': 6, 'Class_2': 47.964705882352945, 'Class_3': 216.54117647058825, 'Class_4': 144.27450980392157, 'Class_5': 93.77254901960784, 'Class_6': 77.50588235294117, 'Class_7': 111.89019607843137, 'Class_8': 147.29019607843136, 'Class_9': 221.3490196078431, 'Class_10': 1176.4784313725493}","{'Date': '2017-08', 'Class_1': 1, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 3, 'Class_6': 69.92549019607844, 'Class_7': 277.478431372549, 'Class_8': 178.05882352941174, 'Class_9': 262.5372549019608, 'Class_10': 1446.066666666667}","{'Date': '2017-08', 'Class_1': 8, 'Class_2': 4, 'Class_3': 75.68627450980391, 'Class_4': 115.38039215686274, 'Class_5': 100.63529411764705, 'Class_6': 68.87058823529412, 'Class_7': 49.654901960784315, 'Class_8': 37.192156862745094, 'Class_9': 30.67843137254902, 'Class_10': 69.4235294117647}","{'Date': '2017-08', 'Class_1': 288.47843137254904, 'Class_2': 37.53333333333333, 'Class_3': 33, 'Class_4': 70.87843137254902, 'Class_5': 90.29019607843138, 'Class_6': 176.25098039215686, 'Class_7': 532.2470588235294, 'Class_8': 598.1372549019608, 'Class_9': 290.2196078431372, 'Class_10': 59.549019607843135}","{'Date': '2017-08', 'Class_1': 0, 'Class_2': 334.7607843137253, 'Class_3': 647.1019607843136, 'Class_4': 616.2627450980393, 'Class_5': 166.55294117647057, 'Class_6': 460.6666666666666, 'Class_7': 13.721568627450981, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-09', 'Class_1': 35.72156862745098, 'Class_2': 105.07450980392156, 'Class_3': 148.76470588235293, 'Class_4': 143.82745098039214, 'Class_5': 168.28627450980392, 'Class_6': 259.12549019607843, 'Class_7': 522.1450980392157, 'Class_8': 486.98039215686276, 'Class_9': 119.09019607843138, 'Class_10': 4.972549019607843}","{'Date': '2017-09', 'Class_1': 67.08627450980393, 'Class_2': 861.0313725490195, 'Class_3': 323.97647058823526, 'Class_4': 252.39215686274508, 'Class_5': 404.2078431372548, 'Class_6': 77.29411764705883, 'Class_7': 4, 'Class_8': 3, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-09', 'Class_1': 5, 'Class_2': 23.545098039215688, 'Class_3': 153.1450980392157, 'Class_4': 170.60392156862744, 'Class_5': 138.98823529411766, 'Class_6': 147.4627450980392, 'Class_7': 224.75294117647059, 'Class_8': 334.56862745098033, 'Class_9': 441.96470588235286, 'Class_10': 353.956862745098}","{'Date': '2017-09', 'Class_1': 1, 'Class_2': 0, 'Class_3': 1, 'Class_4': 3, 'Class_5': 0, 'Class_6': 26.545098039215688, 'Class_7': 242.2078431372549, 'Class_8': 252.7098039215686, 'Class_9': 554.3294117647058, 'Class_10': 913.1960784313724}","{'Date': '2017-09', 'Class_1': 19.545098039215688, 'Class_2': 0, 'Class_3': 10, 'Class_4': 36.956862745098036, 'Class_5': 51.7843137254902, 'Class_6': 44.58039215686275, 'Class_7': 48.67058823529412, 'Class_8': 34, 'Class_9': 37.32549019607843, 'Class_10': 73.96470588235294}","{'Date': '2017-09', 'Class_1': 384.50980392156856, 'Class_2': 55.909803921568624, 'Class_3': 17.48627450980392, 'Class_4': 19, 'Class_5': 34.37647058823529, 'Class_6': 107.67058823529412, 'Class_7': 270.121568627451, 'Class_8': 460.01568627450985, 'Class_9': 383.16862745098047, 'Class_10': 250.72941176470582}","{'Date': '2017-09', 'Class_1': 0, 'Class_2': 231.90588235294115, 'Class_3': 598.4745098039216, 'Class_4': 775.3843137254898, 'Class_5': 228.75686274509803, 'Class_6': 158.7450980392157, 'Class_7': 0.7215686274509804, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-10', 'Class_1': 119.86666666666667, 'Class_2': 150.60392156862744, 'Class_3': 156.86666666666662, 'Class_4': 158.22745098039218, 'Class_5': 248.3803921568627, 'Class_6': 450.0980392156863, 'Class_7': 679.5372549019609, 'Class_8': 267.07450980392156, 'Class_9': 13.898039215686275, 'Class_10': 0}","{'Date': '2017-10', 'Class_1': 9, 'Class_2': 799.1999999999999, 'Class_3': 586.0039215686274, 'Class_4': 338.15294117647056, 'Class_5': 453.235294117647, 'Class_6': 54.96078431372549, 'Class_7': 4, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}","{'Date': '2017-10', 'Class_1': 0, 'Class_2': 24, 'Class_3': 160.18039215686278, 'Class_4': 180.4078431372549, 'Class_5': 151.21960784313725, 'Class_6': 218.81568627450974, 'Class_7': 421.6470588235293, 'Class_8': 545.2862745098039, 'Class_9': 429.0980392156862, 'Class_10': 113.89803921568627}","{'Date': '2017-10', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 0, 'Class_6': 34, 'Class_7': 244.59607843137258, 'Class_8': 286.0392156862745, 'Class_9': 932.1294117647058, 'Class_10': 747.7882352941175}","{'Date': '2017-10', 'Class_1': 12, 'Class_2': 0, 'Class_3': 9, 'Class_4': 35.67058823529412, 'Class_5': 66.63529411764705, 'Class_6': 75.6078431372549, 'Class_7': 48.9921568627451, 'Class_8': 51.188235294117646, 'Class_9': 48.898039215686275, 'Class_10': 79.30588235294117}","{'Date': '2017-10', 'Class_1': 432.49411764705883, 'Class_2': 31.478431372549018, 'Class_3': 24.647058823529413, 'Class_4': 13.466666666666667, 'Class_5': 22.72156862745098, 'Class_6': 126.56862745098039, 'Class_7': 432.74901960784314, 'Class_8': 499.41568627450977, 'Class_9': 386.11372549019603, 'Class_10': 265.8980392156862}","{'Date': '2017-10', 'Class_1': 0, 'Class_2': 105.93333333333332, 'Class_3': 418.5215686274511, 'Class_4': 1184.6196078431374, 'Class_5': 245.7294117647059, 'Class_6': 287.07450980392156, 'Class_7': 2.6745098039215685, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-03', 'Class_1': 25.968627450980392, 'Class_2': 121.74901960784314, 'Class_3': 408.53333333333336, 'Class_4': 498.6039215686275, 'Class_5': 408.74117647058813, 'Class_6': 296.7411764705882, 'Class_7': 212.05098039215687, 'Class_8': 156.8470588235294, 'Class_9': 83.17254901960781, 'Class_10': 34.48235294117647}","{'Date': '2018-03', 'Class_1': 1, 'Class_2': 159.14117647058825, 'Class_3': 204.09411764705882, 'Class_4': 488.08627450980396, 'Class_5': 1094.3568627450982, 'Class_6': 286.270588235294, 'Class_7': 3.9411764705882355, 'Class_8': 9, 'Class_9': 1, 'Class_10': 0}","{'Date': '2018-03', 'Class_1': 9, 'Class_2': 147.76078431372548, 'Class_3': 360.3372549019608, 'Class_4': 658.435294117647, 'Class_5': 507.08235294117645, 'Class_6': 265.6901960784313, 'Class_7': 127.25098039215686, 'Class_8': 88.71372549019608, 'Class_9': 72.61960784313725, 'Class_10': 10}","{'Date': '2018-03', 'Class_1': 1, 'Class_2': 2, 'Class_3': 1, 'Class_4': 5, 'Class_5': 4.9411764705882355, 'Class_6': 167.50196078431372, 'Class_7': 651.1843137254901, 'Class_8': 954.5529411764707, 'Class_9': 346.6705882352941, 'Class_10': 113.03921568627452}","{'Date': '2018-03', 'Class_1': 16.658823529411766, 'Class_2': 8, 'Class_3': 13.941176470588236, 'Class_4': 41.95294117647059, 'Class_5': 56.949019607843134, 'Class_6': 85.06666666666666, 'Class_7': 132.40392156862745, 'Class_8': 168.44313725490196, 'Class_9': 164.5921568627451, 'Class_10': 282.7215686274509}","{'Date': '2018-03', 'Class_1': 1167.0549019607847, 'Class_2': 232.12549019607843, 'Class_3': 171.9686274509804, 'Class_4': 31.694117647058825, 'Class_5': 11, 'Class_6': 33.603921568627456, 'Class_7': 65.48235294117647, 'Class_8': 110.6, 'Class_9': 111.44313725490197, 'Class_10': 236.14509803921567}","{'Date': '2018-03', 'Class_1': 48.70980392156862, 'Class_2': 260.5725490196078, 'Class_3': 194.63529411764705, 'Class_4': 839.4549019607841, 'Class_5': 602.3019607843136, 'Class_6': 299.2156862745098, 'Class_7': 2, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-04', 'Class_1': 145.06666666666666, 'Class_2': 170.71372549019605, 'Class_3': 335.4313725490195, 'Class_4': 465.678431372549, 'Class_5': 385.28235294117644, 'Class_6': 300, 'Class_7': 254.16078431372551, 'Class_8': 135.55686274509804, 'Class_9': 51.184313725490185, 'Class_10': 3.8156862745098037}","{'Date': '2018-04', 'Class_1': 0, 'Class_2': 793.7529411764704, 'Class_3': 735.1019607843136, 'Class_4': 336.70196078431366, 'Class_5': 329.36470588235295, 'Class_6': 38.96862745098039, 'Class_7': 12, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-04', 'Class_1': 1, 'Class_2': 30, 'Class_3': 153.80784313725488, 'Class_4': 128.4235294117647, 'Class_5': 191.44705882352937, 'Class_6': 389.39607843137253, 'Class_7': 509.24705882352936, 'Class_8': 470.35686274509806, 'Class_9': 342.46666666666664, 'Class_10': 30.745098039215687}","{'Date': '2018-04', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 2, 'Class_6': 37, 'Class_7': 217.47450980392156, 'Class_8': 331.62745098039215, 'Class_9': 1134.6392156862748, 'Class_10': 523.1490196078429}","{'Date': '2018-04', 'Class_1': 12, 'Class_2': 2, 'Class_3': 7.96078431372549, 'Class_4': 62.74901960784314, 'Class_5': 66.86666666666667, 'Class_6': 71.1843137254902, 'Class_7': 41.4, 'Class_8': 54.07058823529412, 'Class_9': 76.67843137254903, 'Class_10': 227.50588235294114}","{'Date': '2018-04', 'Class_1': 338.392156862745, 'Class_2': 63.627450980392155, 'Class_3': 46.94117647058823, 'Class_4': 69.4078431372549, 'Class_5': 209.2470588235294, 'Class_6': 375.16862745098035, 'Class_7': 404.3960784313726, 'Class_8': 381.0235294117648, 'Class_9': 244.4627450980392, 'Class_10': 98.2235294117647}","{'Date': '2018-04', 'Class_1': 3.8156862745098037, 'Class_2': 106.00392156862746, 'Class_3': 151.94117647058826, 'Class_4': 791.0901960784311, 'Class_5': 652.4235294117648, 'Class_6': 538.6156862745097, 'Class_7': 3, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-05', 'Class_1': 94.03921568627449, 'Class_2': 68.9607843137255, 'Class_3': 55.411764705882355, 'Class_4': 73.85882352941178, 'Class_5': 124.70980392156862, 'Class_6': 210.18431372549017, 'Class_7': 385.18039215686275, 'Class_8': 841.3764705882352, 'Class_9': 336.87843137254896, 'Class_10': 56.29019607843137}","{'Date': '2018-05', 'Class_1': 181.5686274509804, 'Class_2': 1634.6078431372557, 'Class_3': 143.00392156862742, 'Class_4': 75.8, 'Class_5': 166.36470588235295, 'Class_6': 33.54509803921569, 'Class_7': 6, 'Class_8': 6, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-05', 'Class_1': 0, 'Class_2': 31, 'Class_3': 91.4313725490196, 'Class_4': 63.5921568627451, 'Class_5': 46.96078431372549, 'Class_6': 54.37647058823529, 'Class_7': 97.10980392156863, 'Class_8': 191.96078431372544, 'Class_9': 584.9960784313723, 'Class_10': 1085.4627450980395}","{'Date': '2018-05', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 2, 'Class_6': 33, 'Class_7': 126.87058823529411, 'Class_8': 87.86666666666667, 'Class_9': 243.54509803921565, 'Class_10': 1753.6078431372557}","{'Date': '2018-05', 'Class_1': 10, 'Class_2': 2, 'Class_3': 5, 'Class_4': 33, 'Class_5': 52.88627450980392, 'Class_6': 36.45490196078431, 'Class_7': 18.68235294117647, 'Class_8': 10.545098039215686, 'Class_9': 19.96078431372549, 'Class_10': 31.337254901960783}","{'Date': '2018-05', 'Class_1': 176.04313725490195, 'Class_2': 7.545098039215686, 'Class_3': 8, 'Class_4': 2, 'Class_5': 11, 'Class_6': 42.91764705882353, 'Class_7': 225.48235294117646, 'Class_8': 761.5490196078429, 'Class_9': 560.6509803921568, 'Class_10': 412.3058823529411}","{'Date': '2018-05', 'Class_1': 22, 'Class_2': 573.113725490196, 'Class_3': 778.1137254901957, 'Class_4': 625.2823529411764, 'Class_5': 96.34117647058824, 'Class_6': 152.03921568627447, 'Class_7': 0, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
