NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04', 'Class_1': 941997.1176470589, 'Class_2': 912436.6431372549, 'Class_3': 1159997.619607843, 'Class_4': 2295579.97254902, 'Class_5': 3509931.815686275, 'Class_6': 3937267.3725490198, 'Class_7': 3720913.949019607, 'Class_8': 2825123.9450980388, 'Class_9': 1960423.6862745092, 'Class_10': 632268.2941176471}","{'Date': '2017-04', 'Class_1': 1948008.5450980389, 'Class_2': 12857922.831372548, 'Class_3': 2960292.4901960786, 'Class_4': 1429649.9098039216, 'Class_5': 2220074.980392157, 'Class_6': 438384.14901960775, 'Class_7': 26565.466666666664, 'Class_8': 11074.043137254903, 'Class_9': 3741, 'Class_10': 227}","{'Date': '2017-04', 'Class_1': 10885.815686274509, 'Class_2': 212565.00000000003, 'Class_3': 1046589.7686274508, 'Class_4': 976534.3999999999, 'Class_5': 948590.0196078432, 'Class_6': 1422569.0509803924, 'Class_7': 2639627.274509804, 'Class_8': 4009282.5568627454, 'Class_9': 5004624.980392157, 'Class_10': 5624671.549019609}","{'Date': '2017-04', 'Class_1': 4149.4862745098035, 'Class_2': 1485.1176470588234, 'Class_3': 2226.6235294117646, 'Class_4': 3484.4627450980392, 'Class_5': 14880, 'Class_6': 261038.8549019608, 'Class_7': 1491896.82745098, 'Class_8': 1734915.1490196078, 'Class_9': 6263714.733333334, 'Class_10': 12118117.160784312}","{'Date': '2017-04', 'Class_1': 280213.3450980392, 'Class_2': 1090349.2823529413, 'Class_3': 1355607.0509803921, 'Class_4': 2715025.6666666665, 'Class_5': 4719359.80392157, 'Class_6': 5367913.164705882, 'Class_7': 4466468.796078431, 'Class_8': 1575936.196078431, 'Class_9': 53146.89019607843, 'Class_10': 259204.94901960783}","{'Date': '2017-04', 'Class_1': 187110.72549019608, 'Class_2': 613578.3725490196, 'Class_3': 839653.7215686274, 'Class_4': 930540.8784313725, 'Class_5': 420293.1843137254, 'Class_6': 1167790.9960784311, 'Class_7': 6754909.262745099, 'Class_8': 8031091.015686272, 'Class_9': 2849399.933333333, 'Class_10': 101437.32549019608}","{'Date': '2017-04', 'Class_1': 156253.80392156861, 'Class_2': 3516717.1058823527, 'Class_3': 2941197.4117647056, 'Class_4': 9493206.423529414, 'Class_5': 3450709.364705882, 'Class_6': 2284460.047058824, 'Class_7': 36693.23529411765, 'Class_8': 13043.023529411765, 'Class_9': 2470, 'Class_10': 626}"
"{'Date': '2017-05', 'Class_1': 976956.7764705884, 'Class_2': 676170.3921568628, 'Class_3': 650023.4745098038, 'Class_4': 885607.9372549022, 'Class_5': 1426266.8901960782, 'Class_6': 2790320.949019607, 'Class_7': 5988862.611764707, 'Class_8': 5898725.992156863, 'Class_9': 3001798.494117647, 'Class_10': 532950.0352941176}","{'Date': '2017-05', 'Class_1': 1849415.4588235293, 'Class_2': 16104531.63921569, 'Class_3': 1799531.9176470586, 'Class_4': 861999.8392156863, 'Class_5': 1800723.6117647062, 'Class_6': 308292.65882352943, 'Class_7': 68648.16862745097, 'Class_8': 27505.698039215684, 'Class_9': 5871.705882352941, 'Class_10': 1162.8549019607844}","{'Date': '2017-05', 'Class_1': 22305.86274509804, 'Class_2': 299234.8431372549, 'Class_3': 1061780.6980392155, 'Class_4': 589490.2392156862, 'Class_5': 539355.0980392157, 'Class_6': 693624.1019607842, 'Class_7': 1091769.784313725, 'Class_8': 2407128.105882353, 'Class_9': 6371597.309803922, 'Class_10': 9751397.509803923}","{'Date': '2017-05', 'Class_1': 8365.098039215685, 'Class_2': 2314.450980392157, 'Class_3': 3789.0039215686274, 'Class_4': 8504.298039215686, 'Class_5': 29576.29019607843, 'Class_6': 384162.30196078436, 'Class_7': 1269955.5843137256, 'Class_8': 979802.3254901959, 'Class_9': 2945174.9450980397, 'Class_10': 17195386.24313725}","{'Date': '2017-05', 'Class_1': 62509.254901960776, 'Class_2': 1278163.2039215686, 'Class_3': 934686.2745098037, 'Class_4': 1359326.2941176468, 'Class_5': 3966200.643137255, 'Class_6': 7534662.866666668, 'Class_7': 6040559.027450982, 'Class_8': 1591855.549019608, 'Class_9': 18049.682352941178, 'Class_10': 40707.756862745104}","{'Date': '2017-05', 'Class_1': 308504.611764706, 'Class_2': 597584.4274509805, 'Class_3': 706766.3490196079, 'Class_4': 544907.4196078432, 'Class_5': 242984.92156862747, 'Class_6': 404782.5764705882, 'Class_7': 5285624.396078432, 'Class_8': 10543368.247058822, 'Class_9': 4008548.380392157, 'Class_10': 184409.2235294118}","{'Date': '2017-05', 'Class_1': 39986.870588235295, 'Class_2': 5034195.784313728, 'Class_3': 5684603.666666667, 'Class_4': 9117371.678431373, 'Class_5': 1281387.2235294115, 'Class_6': 1617617.0862745098, 'Class_7': 33905.94117647059, 'Class_8': 13481.164705882353, 'Class_9': 2267.0392156862745, 'Class_10': 1411.0980392156862}"
"{'Date': '2017-06', 'Class_1': 272644.61960784305, 'Class_2': 499176.8392156863, 'Class_3': 635644.4823529412, 'Class_4': 814473.874509804, 'Class_5': 1141563.6588235295, 'Class_6': 1900871.7098039214, 'Class_7': 3373029.188235295, 'Class_8': 8433959.019607842, 'Class_9': 4863811.529411766, 'Class_10': 874042.9529411762}","{'Date': '2017-06', 'Class_1': 4111819.658823529, 'Class_2': 14673029.454901962, 'Class_3': 1733419.023529412, 'Class_4': 937457.0745098039, 'Class_5': 911028.5921568628, 'Class_6': 310167, 'Class_7': 53678.13333333333, 'Class_8': 48828.23921568628, 'Class_9': 20082.698039215684, 'Class_10': 9708}","{'Date': '2017-06', 'Class_1': 51093.549019607846, 'Class_2': 279212.0705882353, 'Class_3': 348684.22745098046, 'Class_4': 448747.8745098039, 'Class_5': 601070.568627451, 'Class_6': 781683.7176470587, 'Class_7': 1083527.2980392156, 'Class_8': 1991698.545098039, 'Class_9': 4417082.517647057, 'Class_10': 12806417.505882353}","{'Date': '2017-06', 'Class_1': 20971.039215686276, 'Class_2': 5425.850980392157, 'Class_3': 7479.172549019608, 'Class_4': 10785.486274509803, 'Class_5': 38217.63137254902, 'Class_6': 275763.7568627451, 'Class_7': 522214.66274509806, 'Class_8': 1047420.8078431372, 'Class_9': 2831963.9333333336, 'Class_10': 18041108.53333333}","{'Date': '2017-06', 'Class_1': 99748.36470588236, 'Class_2': 481071.7450980392, 'Class_3': 842942.8274509805, 'Class_4': 1200530.3058823529, 'Class_5': 2034695.2392156865, 'Class_6': 4590835.9843137255, 'Class_7': 9304338.611764707, 'Class_8': 4196712.91372549, 'Class_9': 18300.788235294116, 'Class_10': 39009.20784313726}","{'Date': '2017-06', 'Class_1': 74314.00392156863, 'Class_2': 123619.50980392158, 'Class_3': 529336.1647058824, 'Class_4': 633673.0705882353, 'Class_5': 232022.85490196076, 'Class_6': 395659.8352941177, 'Class_7': 4195767.890196078, 'Class_8': 12190554.211764704, 'Class_9': 3819442.666666667, 'Class_10': 614226.6666666666}","{'Date': '2017-06', 'Class_1': 371593.98431372544, 'Class_2': 6898988.913725491, 'Class_3': 7513771.462745097, 'Class_4': 5979384.5372549025, 'Class_5': 1219320.0117647059, 'Class_6': 757977.2196078432, 'Class_7': 33191.611764705885, 'Class_8': 16965.282352941176, 'Class_9': 4109.850980392157, 'Class_10': 2924}"
"{'Date': '2017-07', 'Class_1': 431226.2588235294, 'Class_2': 1153412.5607843136, 'Class_3': 1581050.7411764704, 'Class_4': 1864167.4274509805, 'Class_5': 1929903.2705882355, 'Class_6': 2294621.7137254905, 'Class_7': 3743707.9098039214, 'Class_8': 7624810.827450981, 'Class_9': 2197170.490196078, 'Class_10': 20602.352941176472}","{'Date': '2017-07', 'Class_1': 3919267.301960784, 'Class_2': 11302174.08627451, 'Class_3': 2178541.5333333337, 'Class_4': 2418691.7764705885, 'Class_5': 2533773.776470588, 'Class_6': 374281.9411764706, 'Class_7': 76620.54509803922, 'Class_8': 26553.592156862745, 'Class_9': 8197, 'Class_10': 2572}","{'Date': '2017-07', 'Class_1': 30471.64705882353, 'Class_2': 323877.6470588235, 'Class_3': 1083327.650980392, 'Class_4': 1553818.580392157, 'Class_5': 1669345.7764705883, 'Class_6': 1369456.9999999998, 'Class_7': 1228105.6901960785, 'Class_8': 1609269.1176470588, 'Class_9': 3232317.6196078435, 'Class_10': 10740682.823529413}","{'Date': '2017-07', 'Class_1': 13347, 'Class_2': 3719, 'Class_3': 4929.980392156863, 'Class_4': 7237.403921568628, 'Class_5': 42361.035294117646, 'Class_6': 335274.7960784314, 'Class_7': 1787137.1176470588, 'Class_8': 2888081.007843138, 'Class_9': 3159104.780392157, 'Class_10': 14597195.431372551}","{'Date': '2017-07', 'Class_1': 143070.16078431372, 'Class_2': 1501835.5686274513, 'Class_3': 2758795.1019607843, 'Class_4': 1719291.9960784316, 'Class_5': 1698113.231372549, 'Class_6': 3406732.9764705882, 'Class_7': 8232061.411764706, 'Class_8': 3318701.784313725, 'Class_9': 19666.62745098039, 'Class_10': 41285.67843137255}","{'Date': '2017-07', 'Class_1': 26169.839215686276, 'Class_2': 67559.80392156861, 'Class_3': 299138.32156862743, 'Class_4': 1066047.219607843, 'Class_5': 2365589.1215686277, 'Class_6': 1351748.4392156866, 'Class_7': 7115251.34117647, 'Class_8': 10064226.05882353, 'Class_9': 467381.4588235294, 'Class_10': 17120.949019607844}","{'Date': '2017-07', 'Class_1': 1837, 'Class_2': 2610602.925490197, 'Class_3': 7107466.992156863, 'Class_4': 7971970.211764708, 'Class_5': 2530529.937254902, 'Class_6': 2533080.129411764, 'Class_7': 56072.17647058824, 'Class_8': 18026.180392156864, 'Class_9': 4060, 'Class_10': 2568}"
"{'Date': '2017-08', 'Class_1': 2742953.533333333, 'Class_2': 1355636.5058823528, 'Class_3': 1009241.905882353, 'Class_4': 1098325.4156862746, 'Class_5': 1318350.6117647062, 'Class_6': 1760202.921568628, 'Class_7': 2990009.074509804, 'Class_8': 7382704.529411766, 'Class_9': 3086152.7882352937, 'Class_10': 71771.20784313725}","{'Date': '2017-08', 'Class_1': 6230773.572549018, 'Class_2': 9270162.219607845, 'Class_3': 1683355.164705882, 'Class_4': 1450806.0941176473, 'Class_5': 3740193.8588235294, 'Class_6': 296350.9294117647, 'Class_7': 32123.317647058822, 'Class_8': 35783.33725490196, 'Class_9': 44165, 'Class_10': 31635}","{'Date': '2017-08', 'Class_1': 81139, 'Class_2': 479509.83137254894, 'Class_3': 2178459.470588235, 'Class_4': 1380930.0274509804, 'Class_5': 907224.7411764705, 'Class_6': 844801.8313725491, 'Class_7': 1033640.11372549, 'Class_8': 1555891.9764705882, 'Class_9': 2393092.443137254, 'Class_10': 11960659.05882353}","{'Date': '2017-08', 'Class_1': 39269, 'Class_2': 6802, 'Class_3': 8302, 'Class_4': 11094, 'Class_5': 33601.1137254902, 'Class_6': 720930.3921568627, 'Class_7': 2702486.525490196, 'Class_8': 1723790.231372549, 'Class_9': 2595465.5294117653, 'Class_10': 14956254.701960785}","{'Date': '2017-08', 'Class_1': 96139.7176470588, 'Class_2': 2986974.4745098045, 'Class_3': 1763808.6509803925, 'Class_4': 1318308.3058823529, 'Class_5': 1653384.6156862746, 'Class_6': 4026886.490196078, 'Class_7': 7542324.196078431, 'Class_8': 3237858.031372548, 'Class_9': 50665.08235294117, 'Class_10': 136567.12156862742}","{'Date': '2017-08', 'Class_1': 571622.5568627452, 'Class_2': 679496.325490196, 'Class_3': 1045630.3254901959, 'Class_4': 1158964.0352941179, 'Class_5': 702856.8352941176, 'Class_6': 1574496.4901960786, 'Class_7': 7156280.811764707, 'Class_8': 9251758.917647058, 'Class_9': 619126.062745098, 'Class_10': 50469.13333333333}","{'Date': '2017-08', 'Class_1': 28, 'Class_2': 3228841.54509804, 'Class_3': 6811518.427450982, 'Class_4': 6447093.560784315, 'Class_5': 1706643.745098039, 'Class_6': 4400505.490196078, 'Class_7': 155998.61176470589, 'Class_8': 24675.976470588233, 'Class_9': 7636.61568627451, 'Class_10': 5484}"
"{'Date': '2017-09', 'Class_1': 348814.1411764706, 'Class_2': 896000.031372549, 'Class_3': 1368287.4117647058, 'Class_4': 1508429.7058823525, 'Class_5': 1848129.4431372553, 'Class_6': 2960191.725490196, 'Class_7': 4988087.51372549, 'Class_8': 5112789.709803921, 'Class_9': 1204306.8196078427, 'Class_10': 31016.360784313725}","{'Date': '2017-09', 'Class_1': 553496.4470588235, 'Class_2': 8892904.301960785, 'Class_3': 3575417.980392157, 'Class_4': 2554874.6470588236, 'Class_5': 3855409.066666667, 'Class_6': 737390.8705882353, 'Class_7': 57431.549019607846, 'Class_8': 35452, 'Class_9': 3272, 'Class_10': 404}","{'Date': '2017-09', 'Class_1': 21826, 'Class_2': 301278.6039215686, 'Class_3': 1352643.8039215687, 'Class_4': 1487301.388235294, 'Class_5': 1435773.6117647057, 'Class_6': 1768903.7098039214, 'Class_7': 2466138.301960784, 'Class_8': 3335469.850980392, 'Class_9': 4473275.0156862745, 'Class_10': 3623442.5764705883}","{'Date': '2017-09', 'Class_1': 4138, 'Class_2': 1883, 'Class_3': 4381, 'Class_4': 13318, 'Class_5': 33065.91764705882, 'Class_6': 358375.46274509805, 'Class_7': 2026379.729411765, 'Class_8': 2607848.039215686, 'Class_9': 5917864.725490198, 'Class_10': 9298488.988235293}","{'Date': '2017-09', 'Class_1': 792992.8156862746, 'Class_2': 874368.0745098039, 'Class_3': 1611906.9215686275, 'Class_4': 1340920.125490196, 'Class_5': 1785957.5686274508, 'Class_6': 3312915.9843137255, 'Class_7': 4473729.380392157, 'Class_8': 4461291.705882354, 'Class_9': 307496.8588235293, 'Class_10': 1258741.568627451}","{'Date': '2017-09', 'Class_1': 73417.40784313725, 'Class_2': 295667.4156862744, 'Class_3': 1374882.5960784315, 'Class_4': 1866438.3215686274, 'Class_5': 775945.9019607843, 'Class_6': 503218.5058823529, 'Class_7': 4046915.321568628, 'Class_8': 8793132.278431373, 'Class_9': 2384648.101960784, 'Class_10': 151658.0117647059}","{'Date': '2017-09', 'Class_1': 334, 'Class_2': 2349595.5843137256, 'Class_3': 5898726.960784314, 'Class_4': 8350573.6196078425, 'Class_5': 2134315.9058823534, 'Class_6': 1504796.811764706, 'Class_7': 22318.980392156864, 'Class_8': 3924, 'Class_9': 493, 'Class_10': 326}"
"{'Date': '2017-10', 'Class_1': 995433.4235294119, 'Class_2': 1527407.8000000003, 'Class_3': 1528047.88627451, 'Class_4': 1669197.7999999998, 'Class_5': 2565890.176470588, 'Class_6': 4754814.129411764, 'Class_7': 7009031.611764705, 'Class_8': 2633737.9725490194, 'Class_9': 134808.3254901961, 'Class_10': 0}","{'Date': '2017-10', 'Class_1': 71405.50588235294, 'Class_2': 8258895.7137254905, 'Class_3': 6105825.619607844, 'Class_4': 3524199.580392157, 'Class_5': 4290656.478431373, 'Class_6': 519766.09803921566, 'Class_7': 43540.41960784314, 'Class_8': 3820.709803921569, 'Class_9': 259, 'Class_10': 0}","{'Date': '2017-10', 'Class_1': 3025, 'Class_2': 209697.20392156864, 'Class_3': 1483011.0941176475, 'Class_4': 1669317.054901961, 'Class_5': 1536485.3019607845, 'Class_6': 2346615.1960784313, 'Class_7': 4121134.5686274506, 'Class_8': 5725182.301960785, 'Class_9': 4514069.000000001, 'Class_10': 1209832.4039215683}","{'Date': '2017-10', 'Class_1': 345, 'Class_2': 379, 'Class_3': 747, 'Class_4': 1830, 'Class_5': 10037.41568627451, 'Class_6': 264766.8627450981, 'Class_7': 2322005.231372549, 'Class_8': 2834048.580392157, 'Class_9': 9687723.4, 'Class_10': 7696486.635294119}","{'Date': '2017-10', 'Class_1': 291911.59607843135, 'Class_2': 979812.5098039216, 'Class_3': 2107586.533333333, 'Class_4': 1755641.619607844, 'Class_5': 2581233.5921568633, 'Class_6': 4187031.3960784315, 'Class_7': 4585214.6313725505, 'Class_8': 4975771.329411766, 'Class_9': 312145.3176470589, 'Class_10': 1017955.5215686276}","{'Date': '2017-10', 'Class_1': 74238.50980392157, 'Class_2': 545139.2588235295, 'Class_3': 1895011.7803921574, 'Class_4': 1750621.0470588238, 'Class_5': 492630.76862745103, 'Class_6': 470062.937254902, 'Class_7': 5511835.600000001, 'Class_8': 9609591.843137257, 'Class_9': 2423975.0627450976, 'Class_10': 45155.31764705883}","{'Date': '2017-10', 'Class_1': 0, 'Class_2': 1086982.050980392, 'Class_3': 4207646.011764705, 'Class_4': 12224228.784313723, 'Class_5': 2651544.9725490203, 'Class_6': 2615546.133333333, 'Class_7': 30308.13725490196, 'Class_8': 1953.035294117647, 'Class_9': 48, 'Class_10': 36}"
"{'Date': '2018-03', 'Class_1': 282452.09411764704, 'Class_2': 1199120.9176470586, 'Class_3': 4072284.9333333336, 'Class_4': 5065425.556862746, 'Class_5': 4022012.905882353, 'Class_6': 3095579.1764705884, 'Class_7': 2398641.207843137, 'Class_8': 1529729.517647059, 'Class_9': 823171.501960784, 'Class_10': 351667.7411764704}","{'Date': '2018-03', 'Class_1': 17196.078431372553, 'Class_2': 1635808.984313725, 'Class_3': 2101419.2705882355, 'Class_4': 4638929.956862745, 'Class_5': 11419579.02745098, 'Class_6': 2850828.615686274, 'Class_7': 62994.61960784314, 'Class_8': 101648, 'Class_9': 11651, 'Class_10': 30}","{'Date': '2018-03', 'Class_1': 83013, 'Class_2': 1427562.2392156865, 'Class_3': 3573540.239215687, 'Class_4': 6982768.149019609, 'Class_5': 5223438.737254902, 'Class_6': 2479664.0588235296, 'Class_7': 1235823.9490196076, 'Class_8': 1030667.643137255, 'Class_9': 687616.6235294117, 'Class_10': 115990.9137254902}","{'Date': '2018-03', 'Class_1': 12055, 'Class_2': 8259, 'Class_3': 21704, 'Class_4': 46291, 'Class_5': 76979.42352941177, 'Class_6': 1610587.8509803924, 'Class_7': 6629677.749019609, 'Class_8': 9820501.450980393, 'Class_9': 3483992.5803921567, 'Class_10': 1130036.4980392158}","{'Date': '2018-03', 'Class_1': 1196763.4274509803, 'Class_2': 1175796.2000000002, 'Class_3': 5691562.588235294, 'Class_4': 5201064.043137253, 'Class_5': 3133609.7294117655, 'Class_6': 1955252.4941176472, 'Class_7': 1260213.8588235294, 'Class_8': 1809812.023529412, 'Class_9': 216383.55686274506, 'Class_10': 1145451.9764705885}","{'Date': '2018-03', 'Class_1': 683554.8549019606, 'Class_2': 2128945.5137254903, 'Class_3': 3393329.619607843, 'Class_4': 6086471.2235294115, 'Class_5': 4510390.729411765, 'Class_6': 545080.0862745098, 'Class_7': 926247.6588235293, 'Class_8': 2196468.333333333, 'Class_9': 2000649.937254902, 'Class_10': 368832.59607843135}","{'Date': '2018-03', 'Class_1': 438180.93333333323, 'Class_2': 2643585.8745098035, 'Class_3': 2290986.71372549, 'Class_4': 8337536.37254902, 'Class_5': 6085682.207843137, 'Class_6': 3003566.1999999997, 'Class_7': 32030.250980392157, 'Class_8': 7893, 'Class_9': 368, 'Class_10': 188}"
"{'Date': '2018-04', 'Class_1': 1284054.062745098, 'Class_2': 1643948.0666666664, 'Class_3': 3536257.298039216, 'Class_4': 4972583.741176471, 'Class_5': 3961837.796078433, 'Class_6': 2994874.5254901964, 'Class_7': 2462129.6823529415, 'Class_8': 1432939.9254901959, 'Class_9': 515889.9137254901, 'Class_10': 36158.54117647058}","{'Date': '2018-04', 'Class_1': 327.64313725490194, 'Class_2': 7937093.901960785, 'Class_3': 7698616.360784315, 'Class_4': 3546705.3215686274, 'Class_5': 3124273.015686274, 'Class_6': 391438.3490196079, 'Class_7': 117502.96078431373, 'Class_8': 23886, 'Class_9': 830, 'Class_10': 0}","{'Date': '2018-04', 'Class_1': 9625, 'Class_2': 315502.7058823529, 'Class_3': 1350934.0705882353, 'Class_4': 1354086.5686274506, 'Class_5': 2129839.2196078436, 'Class_6': 3959869.956862746, 'Class_7': 5402974.956862745, 'Class_8': 4533863.662745099, 'Class_9': 3446684.2, 'Class_10': 337293.21176470583}","{'Date': '2018-04', 'Class_1': 1283, 'Class_2': 941, 'Class_3': 2575, 'Class_4': 5765, 'Class_5': 26402, 'Class_6': 367116.58431372547, 'Class_7': 1921916.882352941, 'Class_8': 3712410.7254901957, 'Class_9': 11576661.462745098, 'Class_10': 5225601.898039215}","{'Date': '2018-04', 'Class_1': 168426.20784313726, 'Class_2': 1239793.156862745, 'Class_3': 2586700.756862745, 'Class_4': 5475948.933333334, 'Class_5': 5915534.156862746, 'Class_6': 4454656.854901962, 'Class_7': 2120894.074509804, 'Class_8': 802237.5725490196, 'Class_9': 16200.890196078431, 'Class_10': 57788.09803921569}","{'Date': '2018-04', 'Class_1': 180289.0784313726, 'Class_2': 533047.968627451, 'Class_3': 1021721.439215686, 'Class_4': 1634000.7019607846, 'Class_5': 1286815.5882352942, 'Class_6': 2938488.5176470587, 'Class_7': 7914473.65490196, 'Class_8': 6243615.564705881, 'Class_9': 1047434.5843137255, 'Class_10': 40770.45490196079}","{'Date': '2018-04', 'Class_1': 44506.98039215685, 'Class_2': 1069266.6470588234, 'Class_3': 1663181.0196078436, 'Class_4': 7924275.6196078425, 'Class_5': 6896445.447058824, 'Class_6': 5202310.62745098, 'Class_7': 32677.211764705884, 'Class_8': 7883, 'Class_9': 127, 'Class_10': 0}"
"{'Date': '2018-05', 'Class_1': 891609.2196078431, 'Class_2': 597972.843137255, 'Class_3': 560270.0705882353, 'Class_4': 810416.1921568628, 'Class_5': 1338575.0196078434, 'Class_6': 2217822.5019607847, 'Class_7': 3961091.3647058825, 'Class_8': 8680591.050980391, 'Class_9': 3295827.2862745104, 'Class_10': 486498.00392156857}","{'Date': '2018-05', 'Class_1': 1705302.8392156863, 'Class_2': 16804181.635294117, 'Class_3': 1516838.8274509804, 'Class_4': 789316.2078431372, 'Class_5': 1585021.2392156865, 'Class_6': 303747.09803921566, 'Class_7': 61192.80392156863, 'Class_8': 74336.90196078431, 'Class_9': 736, 'Class_10': 0}","{'Date': '2018-05', 'Class_1': 13423, 'Class_2': 293093.6352941176, 'Class_3': 799318.9254901961, 'Class_4': 657099.0862745099, 'Class_5': 512076.7137254902, 'Class_6': 642043.0549019607, 'Class_7': 1012308.0039215685, 'Class_8': 2051257.1568627453, 'Class_9': 5865927.333333332, 'Class_10': 10994126.643137256}","{'Date': '2018-05', 'Class_1': 1222, 'Class_2': 1403, 'Class_3': 2985, 'Class_4': 9444, 'Class_5': 30377.901960784315, 'Class_6': 311301.20784313726, 'Class_7': 1137045.8745098037, 'Class_8': 943964.5764705881, 'Class_9': 2658580.8078431366, 'Class_10': 17744349.184313726}","{'Date': '2018-05', 'Class_1': 115568.30980392157, 'Class_2': 812219.8705882352, 'Class_3': 888993.9294117648, 'Class_4': 789663.6509803921, 'Class_5': 1547770.937254902, 'Class_6': 3256493.3411764703, 'Class_7': 8090221.933333331, 'Class_8': 7298708.211764705, 'Class_9': 14441.764705882351, 'Class_10': 25822.60392156863}","{'Date': '2018-05', 'Class_1': 335428.1137254902, 'Class_2': 621562.6862745099, 'Class_3': 657236.3450980391, 'Class_4': 460463.1058823529, 'Class_5': 153902.10588235295, 'Class_6': 153602.3725490196, 'Class_7': 2880115.223529412, 'Class_8': 13546956.19607843, 'Class_9': 3615647.9137254898, 'Class_10': 415753.49019607843}","{'Date': '2018-05', 'Class_1': 164315.76862745098, 'Class_2': 5725333.878431371, 'Class_3': 7947927.698039215, 'Class_4': 6509262.792156862, 'Class_5': 1080344.2274509808, 'Class_6': 1385891.4156862744, 'Class_7': 20449.772549019606, 'Class_8': 7148, 'Class_9': 0, 'Class_10': 0}"
