EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.61,0.76,0.66,0.64,0.44,-0.62,0.56,0.63,2017-04,1.55,0.83,0.64,0.69,0.46,-0.66,0.60,0.65,1.55,0.89,0.64,0.75,0.44,-0.67,0.60,0.60,-100.00,-4.87,0.08,-0.94,-0.99,-1.00,-5.00,-4.94,100.00,1.00,6.00,1.00,1.00,0.98,4.99,4.81,2.48,0.19,0.26,0.21,0.22,0.17,0.17,0.09
1.72,0.80,0.56,0.71,0.52,-0.65,0.59,0.65,2017-05,1.64,0.89,0.52,0.79,0.57,-0.70,0.65,0.65,1.64,0.89,0.48,0.82,0.61,-0.73,0.60,0.65,-100.00,-5.00,0.13,-0.99,-0.99,-1.00,-4.96,-4.78,99.94,1.00,6.00,1.00,0.88,0.99,4.19,5.00,0.88,0.20,0.25,0.21,0.21,0.16,0.17,0.09
1.96,0.84,0.50,0.75,0.58,-0.69,0.62,0.65,2017-06,2.31,0.89,0.45,0.82,0.64,-0.73,0.65,0.65,2.31,0.92,0.42,0.86,0.68,-0.76,0.65,0.65,-100.00,-5.00,0.09,-0.99,-1.00,-1.00,-4.93,-5.00,100.00,1.00,6.00,1.00,0.95,1.00,4.90,5.00,0.89,0.19,0.22,0.19,0.19,0.16,0.14,0.09
1.72,0.77,0.63,0.67,0.49,-0.64,0.55,0.60,2017-07,2.30,0.89,0.55,0.79,0.57,-0.70,0.60,0.60,2.30,0.92,0.45,0.88,0.67,-0.75,0.60,0.60,-99.81,-5.00,0.17,-0.99,-0.99,-1.00,-4.77,-5.00,100.00,1.00,6.00,1.00,0.85,0.99,4.90,5.00,1.05,0.23,0.26,0.25,0.21,0.19,0.13,0.07
1.70,0.76,0.68,0.67,0.45,-0.64,0.52,0.62,2017-08,1.65,0.89,0.55,0.82,0.57,-0.73,0.60,0.60,2.30,0.95,0.42,0.90,0.68,-0.81,0.60,0.60,-100.00,-5.00,0.19,-1.00,-0.99,-1.00,-4.99,-5.00,100.00,1.00,6.00,1.00,0.96,1.00,5.00,5.00,1.34,0.28,0.35,0.29,0.28,0.22,0.20,0.13
2.02,0.71,0.61,0.58,0.47,-0.54,0.54,0.64,2017-09,2.38,0.80,0.55,0.64,0.53,-0.58,0.60,0.65,2.38,0.89,0.45,0.80,0.61,-0.70,0.65,0.65,-100.00,-5.00,0.15,-0.98,-0.99,-1.00,-4.85,-5.00,100.00,1.00,6.00,1.00,1.00,0.99,4.57,5.00,4.81,0.21,0.22,0.22,0.20,0.18,0.19,0.08
2.03,0.69,0.67,0.55,0.41,-0.52,0.54,0.64,2017-10,1.60,0.77,0.61,0.60,0.47,-0.55,0.60,0.65,2.39,0.83,0.52,0.67,0.54,-0.61,0.60,0.65,-100.00,-4.92,0.25,-0.91,-0.96,-1.00,-4.63,-4.82,100.00,1.00,5.94,1.00,0.79,0.73,4.83,4.66,3.33,0.18,0.23,0.19,0.20,0.15,0.19,0.08
1.32,0.46,0.71,0.32,0.35,-0.36,0.34,0.68,2018-03,1.40,0.45,0.73,0.29,0.32,-0.36,0.28,0.66,0.66,0.42,0.86,0.25,0.21,-0.37,0.28,0.66,-100.00,-4.31,0.04,-0.76,-0.95,-0.97,-4.90,-3.60,100.00,1.00,5.73,1.00,0.93,0.86,4.50,4.98,4.90,0.19,0.26,0.17,0.19,0.16,0.22,0.11
1.35,0.66,0.81,0.52,0.32,-0.53,0.51,0.60,2018-04,1.46,0.70,0.82,0.54,0.30,-0.56,0.55,0.58,1.46,0.71,0.91,0.54,0.24,-0.57,0.61,0.61,-100.00,-2.12,0.08,-0.52,-0.53,-0.83,-3.61,-0.18,100.00,0.94,3.25,0.89,0.90,0.67,1.79,4.51,1.20,0.18,0.25,0.18,0.20,0.14,0.17,0.09
2.04,0.82,0.53,0.72,0.54,-0.66,0.60,0.67,2018-05,2.38,0.88,0.46,0.79,0.61,-0.71,0.65,0.64,2.38,0.93,0.41,0.85,0.68,-0.72,0.65,0.64,-100.00,-2.87,0.15,-0.59,-0.51,-0.90,-4.62,-0.00,100.00,0.97,2.99,0.95,0.87,0.68,4.35,4.62,0.87,0.18,0.22,0.20,0.21,0.16,0.17,0.08
2.02,0.77,0.58,0.65,0.51,-0.61,0.59,0.63,2018-06,2.43,0.82,0.52,0.70,0.54,-0.64,0.65,0.64,2.43,0.88,0.42,0.79,0.68,-0.68,0.65,0.64,-100.00,-1.90,0.11,-0.49,-0.65,-1.00,-4.61,-0.30,100.00,1.00,4.54,1.00,0.92,0.63,4.84,4.84,1.51,0.16,0.20,0.18,0.18,0.15,0.13,0.07
1.59,0.70,0.75,0.58,0.39,-0.58,0.50,0.59,2018-07,1.54,0.80,0.71,0.66,0.41,-0.62,0.55,0.58,2.36,0.89,0.45,0.80,0.66,-0.70,0.61,0.61,-99.89,-5.00,0.19,-0.80,-0.53,-0.89,-3.45,-0.02,100.00,0.97,2.93,0.94,0.83,0.85,2.99,4.35,1.04,0.23,0.29,0.25,0.24,0.18,0.15,0.08
1.34,0.63,0.87,0.51,0.30,-0.54,0.45,0.59,2018-08,1.48,0.70,0.90,0.54,0.27,-0.57,0.52,0.58,0.49,0.89,0.45,0.14,0.65,-0.72,0.61,0.61,-100.00,-4.83,0.23,-0.74,-0.57,-0.90,-4.90,-0.12,100.00,0.97,3.38,0.94,0.84,0.85,1.91,4.89,1.02,0.25,0.34,0.26,0.27,0.19,0.18,0.11
1.60,0.64,0.85,0.51,0.29,-0.51,0.44,0.64,2018-09,1.54,0.73,0.84,0.57,0.29,-0.56,0.55,0.64,2.41,0.87,0.46,0.75,0.61,-0.67,0.61,0.61,-100.00,-1.27,0.21,-0.39,-0.50,-0.87,-3.11,0.01,100.00,0.96,2.63,0.92,0.86,0.53,2.15,4.01,1.36,0.23,0.32,0.24,0.26,0.18,0.22,0.12
