EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.62,0.76,0.66,0.64,0.44,-0.62,0.56,0.63,2017-04,1.73,0.84,0.65,0.69,0.46,-0.66,0.56,0.63,1.73,0.91,0.65,0.75,0.44,-0.67,0.56,0.63,-14225.00,-10.02,0.08,-0.94,-0.99,-1.00,-88.76,-219.63,16465.00,1.00,344.50,1.00,1.00,0.98,220.53,82.38,26.00,0.19,0.56,0.21,0.22,0.17,0.21,0.15
1.72,0.80,0.56,0.71,0.52,-0.65,0.59,0.65,2017-05,1.73,0.91,0.56,0.79,0.57,-0.70,0.65,0.66,1.73,0.91,0.56,0.82,0.61,-0.73,0.65,0.66,-13315.00,-15.12,0.13,-0.99,-0.99,-1.00,-70.10,-51.94,11595.00,1.00,419.50,1.00,0.88,0.99,52.84,71.00,6.94,0.20,0.53,0.21,0.21,0.16,0.19,0.11
1.96,0.83,0.53,0.75,0.58,-0.69,0.62,0.65,2017-06,1.98,0.92,0.50,0.82,0.64,-0.73,0.65,0.65,1.98,0.92,0.50,0.86,0.68,-0.76,0.65,0.65,-6330.00,-21.35,0.09,-0.99,-1.00,-1.00,-50.10,-55.00,6325.00,1.00,710.00,1.00,0.95,1.00,55.90,51.00,4.89,0.29,1.76,0.19,0.19,0.16,0.16,0.11
1.72,0.77,0.64,0.67,0.49,-0.64,0.55,0.60,2017-07,1.74,0.93,0.63,0.79,0.57,-0.70,0.61,0.61,1.74,0.93,0.63,0.88,0.67,-0.75,0.61,0.61,-8725.00,-17.21,0.17,-0.99,-0.99,-1.00,-33.10,-34.00,6142.50,1.00,442.00,1.00,0.85,0.99,34.90,34.00,5.49,0.25,1.09,0.25,0.21,0.19,0.14,0.09
1.71,0.75,0.73,0.67,0.45,-0.64,0.52,0.62,2017-08,1.73,0.94,0.68,0.82,0.57,-0.73,0.53,0.62,1.73,0.94,0.68,0.90,0.68,-0.81,0.53,0.62,-10825.00,-28.05,0.19,-1.00,-0.99,-1.00,-86.10,-115.00,26465.00,1.00,391.00,1.00,0.96,1.00,115.90,87.00,12.42,0.39,1.80,0.29,0.28,0.22,0.33,0.29
2.04,0.71,0.61,0.58,0.47,-0.54,0.54,0.64,2017-09,2.62,0.78,0.60,0.64,0.53,-0.58,0.55,0.64,2.62,0.90,0.60,0.80,0.61,-0.70,0.55,0.64,-37545.00,-14.13,0.15,-0.98,-0.99,-1.00,-57.60,-20.73,35475.00,1.00,263.50,1.00,1.00,0.99,527.67,527.67,77.32,0.22,0.38,0.22,0.20,0.18,0.30,0.25
2.03,0.69,0.67,0.55,0.41,-0.52,0.54,0.64,2017-10,2.22,0.77,0.60,0.60,0.47,-0.55,0.54,0.64,2.22,0.83,0.60,0.67,0.54,-0.61,0.54,0.64,-18305.00,-4.92,0.25,-0.91,-0.96,-1.00,-779.20,-727.00,20660.00,1.00,46.33,1.00,0.79,0.73,780.10,780.10,42.49,0.18,0.23,0.19,0.20,0.15,0.49,0.46
1.33,0.46,0.71,0.32,0.35,-0.36,0.34,0.68,2018-03,1.89,0.45,0.63,0.29,0.32,-0.36,0.24,0.68,1.89,0.42,0.87,0.25,0.21,-0.37,0.24,0.68,-17315.00,-5.29,0.04,-0.76,-0.95,-0.97,-50.10,-21.97,20140.00,1.00,47.33,1.00,0.93,0.86,34.69,51.00,51.42,0.19,0.26,0.17,0.19,0.16,0.23,0.12
1.35,0.66,0.81,0.52,0.32,-0.53,0.51,0.60,2018-04,1.38,0.70,0.82,0.54,0.30,-0.56,0.60,0.62,1.38,0.71,0.91,0.54,0.24,-0.57,0.60,0.62,-12645.00,-2.12,0.08,-0.52,-0.53,-0.83,-30.93,-36.91,13825.00,0.94,3.25,0.89,0.90,0.67,37.81,31.83,10.90,0.18,0.25,0.18,0.20,0.14,0.17,0.10
2.04,0.82,0.53,0.72,0.54,-0.66,0.60,0.67,2018-05,2.06,0.88,0.46,0.79,0.61,-0.71,0.65,0.64,2.06,0.93,0.41,0.85,0.68,-0.72,0.65,0.64,-16185.00,-2.87,0.15,-0.59,-0.51,-0.90,-6.07,-0.00,12965.00,0.97,2.99,0.95,0.87,0.68,5.37,6.97,7.13,0.18,0.22,0.20,0.21,0.16,0.17,0.08
