NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04-19', 'Class_1': 101.72156862745098, 'Class_2': 91.43137254901961, 'Class_3': 120.54509803921569, 'Class_4': 228, 'Class_5': 335.90588235294115, 'Class_6': 359.1764705882353, 'Class_7': 338.81568627450974, 'Class_8': 293.1764705882353, 'Class_9': 190.32156862745097, 'Class_10': 67.75686274509803}","{'Date': '2017-04-19', 'Class_1': 207.87450980392157, 'Class_2': 1249.6588235294116, 'Class_3': 284.36470588235295, 'Class_4': 131.45882352941175, 'Class_5': 207.52941176470586, 'Class_6': 41.964705882352945, 'Class_7': 2, 'Class_8': 1, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-04-19', 'Class_1': 1, 'Class_2': 21, 'Class_3': 110.91372549019609, 'Class_4': 100.61960784313723, 'Class_5': 72.50980392156862, 'Class_6': 125.4078431372549, 'Class_7': 265.5568627450981, 'Class_8': 390.8392156862745, 'Class_9': 470.66666666666663, 'Class_10': 568.3372549019607}","{'Date': '2017-04-19', 'Class_1': 0, 'Class_2': 1, 'Class_3': 0, 'Class_4': 0, 'Class_5': 0, 'Class_6': 32, 'Class_7': 158.19607843137254, 'Class_8': 136.5921568627451, 'Class_9': 618.3098039215687, 'Class_10': 1180.752941176471}","{'Date': '2017-04-19', 'Class_1': 4.964705882352941, 'Class_2': 2, 'Class_3': 10, 'Class_4': 57.949019607843134, 'Class_5': 52.772549019607844, 'Class_6': 45.71372549019608, 'Class_7': 20.772549019607844, 'Class_8': 25.941176470588236, 'Class_9': 38.47450980392157, 'Class_10': 122.52941176470588}","{'Date': '2017-04-19', 'Class_1': 241.20784313725488, 'Class_2': 21.901960784313726, 'Class_3': 14.968627450980392, 'Class_4': 17.458823529411767, 'Class_5': 91.39607843137253, 'Class_6': 264.0470588235294, 'Class_7': 398.0980392156863, 'Class_8': 433.20000000000005, 'Class_9': 347.1411764705882, 'Class_10': 281.46666666666664}","{'Date': '2017-04-19', 'Class_1': 15.501960784313724, 'Class_2': 355.4862745098038, 'Class_3': 282.23921568627446, 'Class_4': 879.4352941176469, 'Class_5': 345.20784313725494, 'Class_6': 243.98039215686273, 'Class_7': 4, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-05-10', 'Class_1': 117.64313725490196, 'Class_2': 76.9843137254902, 'Class_3': 73.07450980392157, 'Class_4': 100.27450980392156, 'Class_5': 185.49019607843138, 'Class_6': 351.87843137254896, 'Class_7': 582.0588235294116, 'Class_8': 417.4862745098039, 'Class_9': 275.7686274509804, 'Class_10': 53.66666666666667}","{'Date': '2017-05-10', 'Class_1': 216.3098039215686, 'Class_2': 1510.9372549019618, 'Class_3': 184.21960784313723, 'Class_4': 84.02745098039216, 'Class_5': 198.8313725490196, 'Class_6': 29, 'Class_7': 2, 'Class_8': 6, 'Class_9': 1, 'Class_10': 2}","{'Date': '2017-05-10', 'Class_1': 3, 'Class_2': 26, 'Class_3': 137.8627450980392, 'Class_4': 62.29019607843137, 'Class_5': 45.11764705882352, 'Class_6': 64.49411764705883, 'Class_7': 134.27843137254902, 'Class_8': 275.8627450980392, 'Class_9': 650.2352941176471, 'Class_10': 835.1843137254899}","{'Date': '2017-05-10', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 4, 'Class_6': 35, 'Class_7': 160.21176470588233, 'Class_8': 85.62745098039215, 'Class_9': 336.6392156862746, 'Class_10': 1609.8470588235305}","{'Date': '2017-05-10', 'Class_1': 6, 'Class_2': 0, 'Class_3': 39, 'Class_4': 79.86274509803923, 'Class_5': 38.80392156862745, 'Class_6': 29.941176470588236, 'Class_7': 22.545098039215688, 'Class_8': 22.7921568627451, 'Class_9': 17, 'Class_10': 61.30196078431373}","{'Date': '2017-05-10', 'Class_1': 209.98431372549018, 'Class_2': 11.427450980392157, 'Class_3': 7.9411764705882355, 'Class_4': 11, 'Class_5': 44.31764705882353, 'Class_6': 200.30588235294115, 'Class_7': 462.035294117647, 'Class_8': 496.77647058823527, 'Class_9': 398.27450980392155, 'Class_10': 356.34509803921566}","{'Date': '2017-05-10', 'Class_1': 0, 'Class_2': 464.8156862745098, 'Class_3': 409.23137254901957, 'Class_4': 992.8313725490195, 'Class_5': 166.85098039215683, 'Class_6': 196.59607843137252, 'Class_7': 2, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-06-14', 'Class_1': 28.980392156862745, 'Class_2': 64.88235294117646, 'Class_3': 67.72941176470589, 'Class_4': 116.30588235294117, 'Class_5': 133.69803921568626, 'Class_6': 180.79215686274506, 'Class_7': 328.678431372549, 'Class_8': 834.4313725490194, 'Class_9': 406.75294117647053, 'Class_10': 64.83529411764705}","{'Date': '2017-06-14', 'Class_1': 530.9529411764706, 'Class_2': 1277.5960784313731, 'Class_3': 191.95686274509802, 'Class_4': 84.75686274509805, 'Class_5': 95.8549019607843, 'Class_6': 37.96862745098039, 'Class_7': 3, 'Class_8': 3, 'Class_9': 1, 'Class_10': 1}","{'Date': '2017-06-14', 'Class_1': 3, 'Class_2': 32, 'Class_3': 41.37647058823529, 'Class_4': 51.94117647058823, 'Class_5': 52.188235294117646, 'Class_6': 90.0627450980392, 'Class_7': 121.6627450980392, 'Class_8': 190.41960784313724, 'Class_9': 405.0588235294117, 'Class_10': 1239.3764705882356}","{'Date': '2017-06-14', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 4, 'Class_6': 33, 'Class_7': 61.37647058823529, 'Class_8': 102.8078431372549, 'Class_9': 308.84313725490193, 'Class_10': 1714.0588235294126}","{'Date': '2017-06-14', 'Class_1': 6, 'Class_2': 5, 'Class_3': 16, 'Class_4': 23.980392156862745, 'Class_5': 23.866666666666667, 'Class_6': 23.501960784313724, 'Class_7': 22, 'Class_8': 23.749019607843138, 'Class_9': 33.63921568627451, 'Class_10': 64.87058823529412}","{'Date': '2017-06-14', 'Class_1': 130.2235294117647, 'Class_2': 18.501960784313724, 'Class_3': 11, 'Class_4': 21.67843137254902, 'Class_5': 70.5764705882353, 'Class_6': 125.43529411764705, 'Class_7': 357.82745098039214, 'Class_8': 712.2156862745097, 'Class_9': 396.14117647058816, 'Class_10': 375.48627450980393}","{'Date': '2017-06-14', 'Class_1': 21.415686274509802, 'Class_2': 582.7176470588234, 'Class_3': 754.7647058823526, 'Class_4': 589.2705882352941, 'Class_5': 176.27450980392157, 'Class_6': 96.64313725490196, 'Class_7': 3, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-07-19', 'Class_1': 18.72156862745098, 'Class_2': 60.752941176470586, 'Class_3': 147.0392156862745, 'Class_4': 208.3254901960784, 'Class_5': 204.76470588235293, 'Class_6': 248.95686274509802, 'Class_7': 380.9843137254902, 'Class_8': 728.6745098039214, 'Class_9': 138.06666666666666, 'Class_10': 0}","{'Date': '2017-07-19', 'Class_1': 259.69019607843126, 'Class_2': 1076.36862745098, 'Class_3': 249.81176470588235, 'Class_4': 261.9019607843137, 'Class_5': 240.51372549019612, 'Class_6': 42, 'Class_7': 5, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-07-19', 'Class_1': 1, 'Class_2': 28, 'Class_3': 91.05882352941177, 'Class_4': 167.64705882352945, 'Class_5': 175.74901960784314, 'Class_6': 137.87843137254902, 'Class_7': 133.47450980392156, 'Class_8': 175.78039215686272, 'Class_9': 341.5999999999999, 'Class_10': 884.0980392156862}","{'Date': '2017-07-19', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 5, 'Class_6': 27, 'Class_7': 170.4509803921569, 'Class_8': 304.85490196078433, 'Class_9': 338.95294117647063, 'Class_10': 1289.0274509803921}","{'Date': '2017-07-19', 'Class_1': 11, 'Class_2': 4, 'Class_3': 8, 'Class_4': 44.52156862745098, 'Class_5': 57.9921568627451, 'Class_6': 74.40392156862745, 'Class_7': 76.2235294117647, 'Class_8': 75.32549019607843, 'Class_9': 49.10588235294117, 'Class_10': 94.1686274509804}","{'Date': '2017-07-19', 'Class_1': 138.4823529411765, 'Class_2': 109.81176470588235, 'Class_3': 122.70980392156862, 'Class_4': 87.71764705882353, 'Class_5': 54.32941176470588, 'Class_6': 158.9450980392157, 'Class_7': 483.6784313725491, 'Class_8': 664.2313725490197, 'Class_9': 270.89411764705886, 'Class_10': 43.48627450980391}","{'Date': '2017-07-19', 'Class_1': 0, 'Class_2': 209.66274509803924, 'Class_3': 686.5647058823528, 'Class_4': 779.349019607843, 'Class_5': 278.4039215686274, 'Class_6': 179.30588235294118, 'Class_7': 2, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-07-26', 'Class_1': 150.23529411764707, 'Class_2': 229.23921568627455, 'Class_3': 158.59215686274507, 'Class_4': 128.72156862745098, 'Class_5': 106.48627450980392, 'Class_6': 166.65098039215687, 'Class_7': 277.7372549019608, 'Class_8': 705.3960784313725, 'Class_9': 317.86274509803917, 'Class_10': 5.968627450980392}","{'Date': '2017-07-26', 'Class_1': 662.6549019607843, 'Class_2': 848.8431372549019, 'Class_3': 133.79215686274512, 'Class_4': 162.6078431372549, 'Class_5': 383.99215686274505, 'Class_6': 41, 'Class_7': 4, 'Class_8': 3, 'Class_9': 1, 'Class_10': 6}","{'Date': '2017-07-26', 'Class_1': 7, 'Class_2': 45, 'Class_3': 240.67450980392158, 'Class_4': 184.62745098039215, 'Class_5': 101.42745098039215, 'Class_6': 70.39607843137254, 'Class_7': 74.58039215686274, 'Class_8': 100.70588235294117, 'Class_9': 222.34901960784313, 'Class_10': 1200.129411764706}","{'Date': '2017-07-26', 'Class_1': 0, 'Class_2': 0, 'Class_3': 1, 'Class_4': 1, 'Class_5': 4, 'Class_6': 58, 'Class_7': 333.1372549019608, 'Class_8': 196.2313725490196, 'Class_9': 190.40392156862742, 'Class_10': 1458.117647058824}","{'Date': '2017-07-26', 'Class_1': 3, 'Class_2': 9, 'Class_3': 50, 'Class_4': 164.52549019607844, 'Class_5': 124.78823529411764, 'Class_6': 76.24705882352941, 'Class_7': 63.780392156862746, 'Class_8': 47.85098039215686, 'Class_9': 37.48627450980392, 'Class_10': 44.6078431372549}","{'Date': '2017-07-26', 'Class_1': 158.19607843137254, 'Class_2': 65.59215686274511, 'Class_3': 148.26666666666668, 'Class_4': 129.37254901960785, 'Class_5': 130.06666666666666, 'Class_6': 198.64705882352942, 'Class_7': 531.6274509803922, 'Class_8': 608.964705882353, 'Class_9': 217.4627450980392, 'Class_10': 47.69411764705882}","{'Date': '2017-07-26', 'Class_1': 0, 'Class_2': 314.9176470588235, 'Class_3': 655.3372549019608, 'Class_4': 593.8039215686273, 'Class_5': 187.0862745098039, 'Class_6': 468.3215686274509, 'Class_7': 19.423529411764704, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-08-23', 'Class_1': 300.71372549019605, 'Class_2': 137.5921568627451, 'Class_3': 106.63529411764706, 'Class_4': 96.90588235294118, 'Class_5': 124.61176470588236, 'Class_6': 158.39607843137256, 'Class_7': 280.61568627450976, 'Class_8': 701.3960784313724, 'Class_9': 323.57647058823517, 'Class_10': 9}","{'Date': '2017-08-23', 'Class_1': 737.4078431372548, 'Class_2': 801.3333333333331, 'Class_3': 150.1607843137255, 'Class_4': 134.5176470588235, 'Class_5': 375.0235294117646, 'Class_6': 30, 'Class_7': 2, 'Class_8': 6, 'Class_9': 1, 'Class_10': 2}","{'Date': '2017-08-23', 'Class_1': 5, 'Class_2': 54.65882352941177, 'Class_3': 217.33333333333334, 'Class_4': 131.78823529411764, 'Class_5': 98.77254901960784, 'Class_6': 73.50588235294117, 'Class_7': 99.89019607843137, 'Class_8': 119.31372549019608, 'Class_9': 191.88627450980388, 'Class_10': 1247.294117647059}","{'Date': '2017-08-23', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 2, 'Class_5': 4, 'Class_6': 79.41176470588235, 'Class_7': 262.68627450980387, 'Class_8': 185.36470588235295, 'Class_9': 229.06666666666666, 'Class_10': 1473.9137254901968}","{'Date': '2017-08-23', 'Class_1': 8, 'Class_2': 4, 'Class_3': 89.17254901960783, 'Class_4': 128.82745098039217, 'Class_5': 86.99215686274509, 'Class_6': 64.27450980392157, 'Class_7': 42.654901960784315, 'Class_8': 42.266666666666666, 'Class_9': 31.909803921568628, 'Class_10': 70.3921568627451}","{'Date': '2017-08-23', 'Class_1': 292.57254901960783, 'Class_2': 25.95294117647059, 'Class_3': 30, 'Class_4': 70.87843137254902, 'Class_5': 96.29019607843138, 'Class_6': 188.9137254901961, 'Class_7': 545.5372549019606, 'Class_8': 576.2901960784314, 'Class_9': 277.4901960784314, 'Class_10': 59.549019607843135}","{'Date': '2017-08-23', 'Class_1': 0, 'Class_2': 320.8274509803921, 'Class_3': 653.2823529411763, 'Class_4': 607.4235294117648, 'Class_5': 165.82745098039214, 'Class_6': 472.3607843137254, 'Class_7': 16.72156862745098, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-09-27', 'Class_1': 181.1607843137255, 'Class_2': 155.7450980392157, 'Class_3': 133.16862745098038, 'Class_4': 116.10588235294118, 'Class_5': 173.47058823529412, 'Class_6': 270.2980392156863, 'Class_7': 459.7843137254902, 'Class_8': 527.2039215686275, 'Class_9': 150.35294117647058, 'Class_10': 0}","{'Date': '2017-09-27', 'Class_1': 170.37254901960785, 'Class_2': 1148.0470588235294, 'Class_3': 250.01568627450976, 'Class_4': 159.2313725490196, 'Class_5': 389.07843137254895, 'Class_6': 40.54509803921569, 'Class_7': 2, 'Class_8': 7, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-09-27', 'Class_1': 3, 'Class_2': 38, 'Class_3': 171.44705882352943, 'Class_4': 156.30588235294115, 'Class_5': 110.26274509803922, 'Class_6': 100.01176470588236, 'Class_7': 135.49411764705883, 'Class_8': 269.6549019607843, 'Class_9': 503.42352941176466, 'Class_10': 679.6901960784315}","{'Date': '2017-09-27', 'Class_1': 0, 'Class_2': 1, 'Class_3': 1, 'Class_4': 1, 'Class_5': 5, 'Class_6': 53, 'Class_7': 238.5843137254902, 'Class_8': 216.88235294117646, 'Class_9': 354.96862745098036, 'Class_10': 1295.8549019607844}","{'Date': '2017-09-27', 'Class_1': 10, 'Class_2': 3, 'Class_3': 37.384313725490195, 'Class_4': 73.91764705882352, 'Class_5': 68.79607843137255, 'Class_6': 65.26666666666667, 'Class_7': 57.31372549019608, 'Class_8': 39.47843137254902, 'Class_9': 45.22745098039216, 'Class_10': 73.96862745098039}","{'Date': '2017-09-27', 'Class_1': 347.96862745098036, 'Class_2': 47.56470588235294, 'Class_3': 23.72156862745098, 'Class_4': 26.729411764705883, 'Class_5': 60.188235294117646, 'Class_6': 201.4274509803922, 'Class_7': 464.5529411764706, 'Class_8': 510.44705882352946, 'Class_9': 297.50980392156856, 'Class_10': 152.79607843137256}","{'Date': '2017-09-27', 'Class_1': 0, 'Class_2': 236.35686274509803, 'Class_3': 471.46274509803925, 'Class_4': 877.2431372549016, 'Class_5': 224.00392156862745, 'Class_6': 343.54901960784315, 'Class_7': 12.67450980392157, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-10-18', 'Class_1': 72.18039215686275, 'Class_2': 141.76862745098038, 'Class_3': 144.04313725490195, 'Class_4': 173.84313725490196, 'Class_5': 312.078431372549, 'Class_6': 579.070588235294, 'Class_7': 476.2862745098039, 'Class_8': 125.21568627450979, 'Class_9': 6.972549019607843, 'Class_10': 0}","{'Date': '2017-10-18', 'Class_1': 1, 'Class_2': 383.7411764705882, 'Class_3': 524.4156862745098, 'Class_4': 470.5686274509804, 'Class_5': 585.7725490196079, 'Class_6': 64.9607843137255, 'Class_7': 1, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 21, 'Class_3': 153.74901960784314, 'Class_4': 187.09803921568627, 'Class_5': 231.29411764705878, 'Class_6': 365.8156862745098, 'Class_7': 465.4901960784314, 'Class_8': 384.24313725490185, 'Class_9': 173.94901960784313, 'Class_10': 48.81960784313725}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 0, 'Class_6': 32, 'Class_7': 238.99607843137252, 'Class_8': 416.7254901960785, 'Class_9': 1032.7803921568625, 'Class_10': 310.95686274509796}","{'Date': '2017-10-18', 'Class_1': 9, 'Class_2': 0, 'Class_3': 11.67843137254902, 'Class_4': 38.21176470588235, 'Class_5': 47.345098039215685, 'Class_6': 47.490196078431374, 'Class_7': 48.47058823529412, 'Class_8': 50.694117647058825, 'Class_9': 41.09411764705882, 'Class_10': 93.14509803921568}","{'Date': '2017-10-18', 'Class_1': 518.1098039215686, 'Class_2': 35.54509803921569, 'Class_3': 23.764705882352942, 'Class_4': 3, 'Class_5': 9, 'Class_6': 92.82745098039216, 'Class_7': 315.45882352941175, 'Class_8': 442.15686274509795, 'Class_9': 308.7725490196078, 'Class_10': 274.82352941176464}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 86.48627450980393, 'Class_3': 285.93333333333334, 'Class_4': 1181.2901960784313, 'Class_5': 267.2039215686275, 'Class_6': 208.8705882352941, 'Class_7': 1.6745098039215685, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-03-15', 'Class_1': 20.968627450980392, 'Class_2': 54.560784313725485, 'Class_3': 152.2941176470588, 'Class_4': 236.44313725490198, 'Class_5': 328.7803921568627, 'Class_6': 409.55294117647054, 'Class_7': 380.9450980392156, 'Class_8': 325.16078431372546, 'Class_9': 241.10196078431366, 'Class_10': 93.54901960784314}","{'Date': '2018-03-15', 'Class_1': 2, 'Class_2': 137.50588235294117, 'Class_3': 147.7960784313726, 'Class_4': 261.0156862745098, 'Class_5': 919.7176470588237, 'Class_6': 734.3176470588234, 'Class_7': 31.003921568627455, 'Class_8': 10, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-03-15', 'Class_1': 9, 'Class_2': 437.4588235294117, 'Class_3': 594.8980392156861, 'Class_4': 482.64705882352945, 'Class_5': 284.156862745098, 'Class_6': 164.76862745098038, 'Class_7': 96.32549019607845, 'Class_8': 94.63529411764705, 'Class_9': 65.46666666666665, 'Class_10': 14}","{'Date': '2018-03-15', 'Class_1': 2, 'Class_2': 1, 'Class_3': 4, 'Class_4': 2, 'Class_5': 47.180392156862744, 'Class_6': 448.06274509803916, 'Class_7': 807.6588235294117, 'Class_8': 551.8039215686273, 'Class_9': 267.9647058823529, 'Class_10': 111.68627450980392}","{'Date': '2018-03-15', 'Class_1': 100.2705882352941, 'Class_2': 32.498039215686276, 'Class_3': 45.72156862745098, 'Class_4': 65.66274509803921, 'Class_5': 74.29803921568627, 'Class_6': 107.0235294117647, 'Class_7': 117.2, 'Class_8': 128.00392156862745, 'Class_9': 120.15686274509802, 'Class_10': 213.20392156862744}","{'Date': '2018-03-15', 'Class_1': 1392.6901960784319, 'Class_2': 113.10588235294118, 'Class_3': 50, 'Class_4': 12, 'Class_5': 9, 'Class_6': 19.91764705882353, 'Class_7': 24.686274509803923, 'Class_8': 53.51764705882353, 'Class_9': 81.3764705882353, 'Class_10': 248.69803921568626}","{'Date': '2018-03-15', 'Class_1': 186.58431372549015, 'Class_2': 597.4509803921568, 'Class_3': 361.54509803921565, 'Class_4': 727.5019607843138, 'Class_5': 248.7450980392157, 'Class_6': 119.52941176470588, 'Class_7': 2, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-03-29', 'Class_1': 26.72156862745098, 'Class_2': 297.72156862745095, 'Class_3': 826.6470588235293, 'Class_4': 572.5725490196077, 'Class_5': 285.035294117647, 'Class_6': 104.62745098039215, 'Class_7': 33.64313725490196, 'Class_8': 25.59607843137255, 'Class_9': 28.207843137254912, 'Class_10': 19.423529411764708}","{'Date': '2018-03-29', 'Class_1': 0, 'Class_2': 105.76078431372548, 'Class_3': 195.9686274509804, 'Class_4': 427.2392156862744, 'Class_5': 1335.6039215686283, 'Class_6': 152.68235294117648, 'Class_7': 1.9411764705882353, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-03-29', 'Class_1': 1, 'Class_2': 23.905882352941177, 'Class_3': 336.1882352941176, 'Class_4': 818.7176470588233, 'Class_5': 603.4862745098039, 'Class_6': 242.0901960784314, 'Class_7': 108.49019607843138, 'Class_8': 65.25882352941176, 'Class_9': 19.172549019607846, 'Class_10': 1.8862745098039215}","{'Date': '2018-03-29', 'Class_1': 0, 'Class_2': 1, 'Class_3': 0, 'Class_4': 0, 'Class_5': 1.9411764705882353, 'Class_6': 35.964705882352945, 'Class_7': 676.0862745098038, 'Class_8': 1162.44705882353, 'Class_9': 306.9294117647059, 'Class_10': 35.82745098039216}","{'Date': '2018-03-29', 'Class_1': 2, 'Class_2': 0, 'Class_3': 3.9411764705882355, 'Class_4': 12, 'Class_5': 39.37647058823529, 'Class_6': 65.7372549019608, 'Class_7': 144.89019607843136, 'Class_8': 176.09803921568624, 'Class_9': 180.69803921568626, 'Class_10': 352.19215686274504}","{'Date': '2018-03-29', 'Class_1': 1266.3490196078442, 'Class_2': 255.50588235294114, 'Class_3': 210.14117647058828, 'Class_4': 31.411764705882355, 'Class_5': 17.00392156862745, 'Class_6': 46.88627450980392, 'Class_7': 76.9843137254902, 'Class_8': 95.12941176470588, 'Class_9': 112.9764705882353, 'Class_10': 89.91764705882352}","{'Date': '2018-03-29', 'Class_1': 28.10980392156863, 'Class_2': 44.11764705882352, 'Class_3': 25.87450980392157, 'Class_4': 664.4588235294113, 'Class_5': 816.7333333333332, 'Class_6': 639.9019607843138, 'Class_7': 1, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
