NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04-19', 'Class_1': 959195.9921568627, 'Class_2': 907746.1882352943, 'Class_3': 1140581.4392156862, 'Class_4': 2248904.705882353, 'Class_5': 3411404.9176470595, 'Class_6': 3851481.7490196084, 'Class_7': 3684475.8196078436, 'Class_8': 2821991.650980392, 'Class_9': 1983986.333333333, 'Class_10': 644707.0078431373}","{'Date': '2017-04-19', 'Class_1': 2041513.0588235292, 'Class_2': 12981030.498039212, 'Class_3': 2753611.3294117656, 'Class_4': 1315215.7843137258, 'Class_5': 2103781.5803921567, 'Class_6': 419324.04313725495, 'Class_7': 25066.466666666667, 'Class_8': 10712.043137254903, 'Class_9': 3739, 'Class_10': 482}","{'Date': '2017-04-19', 'Class_1': 10815.815686274509, 'Class_2': 206985.4705882353, 'Class_3': 1032155.2823529412, 'Class_4': 952797.2941176469, 'Class_5': 892067.0352941175, 'Class_6': 1330255.6274509802, 'Class_7': 2541456.364705882, 'Class_8': 3941685.654901961, 'Class_9': 5001364.325490196, 'Class_10': 5744892.933333334}","{'Date': '2017-04-19', 'Class_1': 4441.4862745098035, 'Class_2': 1450.1176470588234, 'Class_3': 2083.6235294117646, 'Class_4': 3211.4627450980392, 'Class_5': 14200, 'Class_6': 255698.96078431373, 'Class_7': 1468898.5803921565, 'Class_8': 1640168.4862745097, 'Class_9': 6045471.666666668, 'Class_10': 12218765.41960784}","{'Date': '2017-04-19', 'Class_1': 221891.39215686277, 'Class_2': 1117386.5725490195, 'Class_3': 1375561.164705882, 'Class_4': 2821328.392156862, 'Class_5': 4910630.788235295, 'Class_6': 5511305.333333333, 'Class_7': 4433629.1725490205, 'Class_8': 1084583.2470588237, 'Class_9': 27028.19215686274, 'Class_10': 143263.62352941174}","{'Date': '2017-04-19', 'Class_1': 194543.27450980392, 'Class_2': 614531.8627450981, 'Class_3': 805477.2745098039, 'Class_4': 873466.2117647058, 'Class_5': 403886.53725490195, 'Class_6': 1182714.1019607845, 'Class_7': 6731130.607843138, 'Class_8': 7907104.45098039, 'Class_9': 2837437.207843137, 'Class_10': 104045.27450980392}","{'Date': '2017-04-19', 'Class_1': 159293.9294117647, 'Class_2': 3536414.8, 'Class_3': 2916273.1058823527, 'Class_4': 9289234.007843137, 'Class_5': 3400828.1215686277, 'Class_6': 2298321.580392157, 'Class_7': 36905.23529411765, 'Class_8': 13251.023529411765, 'Class_9': 2580, 'Class_10': 698}"
"{'Date': '2017-05-10', 'Class_1': 1117309.1215686274, 'Class_2': 750269.5137254902, 'Class_3': 717914.8980392158, 'Class_4': 1062223.650980392, 'Class_5': 1918041.4156862746, 'Class_6': 3665206.6274509816, 'Class_7': 5737956.466666668, 'Class_8': 4429982.619607843, 'Class_9': 2825551.1725490196, 'Class_10': 523451.30196078436}","{'Date': '2017-05-10', 'Class_1': 2139207.1490196073, 'Class_2': 15490178.2, 'Class_3': 1878205.5803921572, 'Class_4': 928047.9137254903, 'Class_5': 1929386.1019607843, 'Class_6': 272509.21960784314, 'Class_7': 20178.019607843136, 'Class_8': 47184.839215686276, 'Class_9': 27356.764705882353, 'Class_10': 15653}","{'Date': '2017-05-10', 'Class_1': 43428.1137254902, 'Class_2': 261940.4, 'Class_3': 1188879.2313725492, 'Class_4': 581766.0274509804, 'Class_5': 592042.5411764706, 'Class_6': 795265.2196078431, 'Class_7': 1291183.643137255, 'Class_8': 2763201.4862745106, 'Class_9': 6608762.698039216, 'Class_10': 8621437.427450981}","{'Date': '2017-05-10', 'Class_1': 23189.858823529412, 'Class_2': 3920.9058823529413, 'Class_3': 5380.0392156862745, 'Class_4': 6980.309803921568, 'Class_5': 17669.470588235294, 'Class_6': 373878.556862745, 'Class_7': 1367275.6470588236, 'Class_8': 1062413.937254902, 'Class_9': 3453581.384313726, 'Class_10': 16428982.678431373}","{'Date': '2017-05-10', 'Class_1': 79131.60392156862, 'Class_2': 1424813.568627451, 'Class_3': 1007624.5647058826, 'Class_4': 1827632.8117647057, 'Class_5': 5392497.082352941, 'Class_6': 8601478.509803923, 'Class_7': 4199916.054901961, 'Class_8': 193527.01960784313, 'Class_9': 3584.145098039216, 'Class_10': 16921.003921568627}","{'Date': '2017-05-10', 'Class_1': 285507.4274509804, 'Class_2': 607611.1843137256, 'Class_3': 841539.8941176471, 'Class_4': 564840.8117647059, 'Class_5': 225187.3764705882, 'Class_6': 534281.3882352941, 'Class_7': 6678155.721568627, 'Class_8': 9235584.701960783, 'Class_9': 3689375.0313725495, 'Class_10': 83900.25098039216}","{'Date': '2017-05-10', 'Class_1': 1710, 'Class_2': 4662969.792156864, 'Class_3': 4270116.968627451, 'Class_4': 10227323.301960783, 'Class_5': 1643884.1607843135, 'Class_6': 1855837.3529411764, 'Class_7': 39346.066666666666, 'Class_8': 20518.980392156864, 'Class_9': 5833.164705882353, 'Class_10': 4169}"
"{'Date': '2017-06-14', 'Class_1': 328145.5568627451, 'Class_2': 552486.556862745, 'Class_3': 661763.580392157, 'Class_4': 1085110.9294117647, 'Class_5': 1543022.0509803926, 'Class_6': 1982182.074509804, 'Class_7': 3305689.6470588236, 'Class_8': 8456913.34509804, 'Class_9': 4060467.6313725496, 'Class_10': 638013.6156862746}","{'Date': '2017-06-14', 'Class_1': 5270472.309803923, 'Class_2': 13003916.678431368, 'Class_3': 2085582.5294117648, 'Class_4': 935522.5647058825, 'Class_5': 868408.9333333333, 'Class_6': 329628.25882352935, 'Class_7': 53992.52941176471, 'Class_8': 34443.18431372549, 'Class_9': 12911, 'Class_10': 18917}","{'Date': '2017-06-14', 'Class_1': 43743.168627450985, 'Class_2': 297672.25882352935, 'Class_3': 344292.36078431376, 'Class_4': 452734.59607843135, 'Class_5': 627677.2235294117, 'Class_6': 969560.5921568626, 'Class_7': 1380884.2666666666, 'Class_8': 1945514.3725490195, 'Class_9': 3920495.870588235, 'Class_10': 12631220.278431375}","{'Date': '2017-06-14', 'Class_1': 17312, 'Class_2': 2689.6313725490195, 'Class_3': 3679.549019607843, 'Class_4': 6354.356862745099, 'Class_5': 44737.13725490196, 'Class_6': 290073.2431372549, 'Class_7': 514962.90196078434, 'Class_8': 1102300.4274509803, 'Class_9': 3321197.364705883, 'Class_10': 17295720.376470592}","{'Date': '2017-06-14', 'Class_1': 116144.90196078431, 'Class_2': 536021.768627451, 'Class_3': 1045450.250980392, 'Class_4': 1810551.0666666667, 'Class_5': 2787193.2352941176, 'Class_6': 6457286.043137254, 'Class_7': 9245606.48235294, 'Class_8': 595078.9529411764, 'Class_9': 2829.670588235294, 'Class_10': 16616.615686274512}","{'Date': '2017-06-14', 'Class_1': 75857.5411764706, 'Class_2': 122727.96470588235, 'Class_3': 513315.105882353, 'Class_4': 617421.1137254902, 'Class_5': 288634.07450980396, 'Class_6': 956219.2352941175, 'Class_7': 4931585.066666666, 'Class_8': 11379738.243137253, 'Class_9': 3345874.3411764707, 'Class_10': 381754.30196078436}","{'Date': '2017-06-14', 'Class_1': 200945.18823529413, 'Class_2': 5729214.949019607, 'Class_3': 7736574.392156864, 'Class_4': 6172074.03137255, 'Class_5': 1733382.8588235297, 'Class_6': 960706.3686274511, 'Class_7': 36133.439215686274, 'Class_8': 15923.909803921568, 'Class_9': 3152, 'Class_10': 2552}"
"{'Date': '2017-07-19', 'Class_1': 180896.52156862745, 'Class_2': 648117.1137254902, 'Class_3': 1433467.1490196078, 'Class_4': 2079219.7058823532, 'Class_5': 2161827.717647059, 'Class_6': 2447749.486274509, 'Class_7': 3950469.5921568624, 'Class_8': 7361410.792156865, 'Class_9': 1351862.6117647057, 'Class_10': 5814.988235294118}","{'Date': '2017-07-19', 'Class_1': 2664019.345098039, 'Class_2': 11030735.839215688, 'Class_3': 2228339.866666666, 'Class_4': 2759536.7529411763, 'Class_5': 2425513.6352941175, 'Class_6': 441263.16078431375, 'Class_7': 55353.07843137255, 'Class_8': 10188, 'Class_9': 3979, 'Class_10': 1907}","{'Date': '2017-07-19', 'Class_1': 13274, 'Class_2': 304709.5607843137, 'Class_3': 950654.2313725491, 'Class_4': 1654250.235294118, 'Class_5': 1800523.4117647056, 'Class_6': 1331658.6509803922, 'Class_7': 1309720.643137255, 'Class_8': 1761459.7803921571, 'Class_9': 3692922.4549019616, 'Class_10': 8801662.70980392}","{'Date': '2017-07-19', 'Class_1': 4925, 'Class_2': 1376, 'Class_3': 2097, 'Class_4': 3747, 'Class_5': 39000.572549019606, 'Class_6': 310511.9725490196, 'Class_7': 1678688.1921568625, 'Class_8': 3092352.317647059, 'Class_9': 3312887.6196078435, 'Class_10': 13173467.003921568}","{'Date': '2017-07-19', 'Class_1': 180032.98039215687, 'Class_2': 1193235.3803921565, 'Class_3': 2705846.090196078, 'Class_4': 1615977.7294117648, 'Class_5': 1650330.3607843139, 'Class_6': 3005742.2745098043, 'Class_7': 7317809.007843137, 'Class_8': 3720834.250980392, 'Class_9': 47758.10980392156, 'Class_10': 178099.76078431375}","{'Date': '2017-07-19', 'Class_1': 9984.756862745098, 'Class_2': 33640.99607843137, 'Class_3': 240878.15686274512, 'Class_4': 1143481.8784313726, 'Class_5': 2449901.5843137265, 'Class_6': 1382753.2156862745, 'Class_7': 6375487.29019608, 'Class_8': 9556728.090196079, 'Class_9': 415110.831372549, 'Class_10': 12836.878431372548}","{'Date': '2017-07-19', 'Class_1': 2408, 'Class_2': 1911698.8588235297, 'Class_3': 6925375.333333334, 'Class_4': 8225803.509803923, 'Class_5': 2674488.364705883, 'Class_6': 1839435.7372549023, 'Class_7': 28808.87450980392, 'Class_8': 8661, 'Class_9': 1208, 'Class_10': 964}"
"{'Date': '2017-07-26', 'Class_1': 1724616.4078431372, 'Class_2': 2072805.7803921567, 'Class_3': 1536407.2705882352, 'Class_4': 1166176.0352941176, 'Class_5': 1316578.9137254902, 'Class_6': 1792429.0196078431, 'Class_7': 3004996.368627451, 'Class_8': 7258596.313725489, 'Class_9': 2916429.7882352937, 'Class_10': 51637.654901960785}","{'Date': '2017-07-26', 'Class_1': 6521379.890196078, 'Class_2': 8847439.858823529, 'Class_3': 1427902, 'Class_4': 1644606.6117647062, 'Class_5': 3907168.0823529414, 'Class_6': 341510.3137254902, 'Class_7': 38060.34117647059, 'Class_8': 29063.788235294116, 'Class_9': 19686.992156862747, 'Class_10': 63855.674509803925}","{'Date': '2017-07-26', 'Class_1': 72457.64705882352, 'Class_2': 459042.18823529413, 'Class_3': 2284760.3215686274, 'Class_4': 1860877.2588235298, 'Class_5': 997802.1843137254, 'Class_6': 769374.6745098039, 'Class_7': 849753.4862745097, 'Class_8': 1207990.4274509805, 'Class_9': 2224439.1960784313, 'Class_10': 12114176.16862745}","{'Date': '2017-07-26', 'Class_1': 36744.05882352941, 'Class_2': 2791.992156862745, 'Class_3': 5043.411764705883, 'Class_4': 7235.035294117647, 'Class_5': 63845.756862745104, 'Class_6': 519903.26274509804, 'Class_7': 3231855.4235294117, 'Class_8': 2012531.4862745095, 'Class_9': 2130206.4392156857, 'Class_10': 14808288.686274506}","{'Date': '2017-07-26', 'Class_1': 118715.66666666667, 'Class_2': 3405629.266666666, 'Class_3': 2061052.435294117, 'Class_4': 1170169.9686274512, 'Class_5': 1687695.956862745, 'Class_6': 4264405.705882354, 'Class_7': 8665972.278431373, 'Class_8': 1447635.9137254902, 'Class_9': 3319.737254901961, 'Class_10': 15231.619607843139}","{'Date': '2017-07-26', 'Class_1': 71972.64705882352, 'Class_2': 127121.69411764704, 'Class_3': 534842.1529411763, 'Class_4': 828234.2823529412, 'Class_5': 2116361.6980392155, 'Class_6': 2605497, 'Class_7': 7665170.43529412, 'Class_8': 8455848.054901963, 'Class_9': 353874.93725490203, 'Class_10': 78327.65098039215}","{'Date': '2017-07-26', 'Class_1': 976, 'Class_2': 2781367.9294117643, 'Class_3': 6910586.674509806, 'Class_4': 6409364.262745099, 'Class_5': 1748714.7098039216, 'Class_6': 4667500.654901961, 'Class_7': 229074.58431372547, 'Class_8': 19032, 'Class_9': 5939.980392156863, 'Class_10': 4808}"
"{'Date': '2017-08-23', 'Class_1': 3049563.5137254903, 'Class_2': 1224474.9921568627, 'Class_3': 930452.2117647061, 'Class_4': 1088619.0313725488, 'Class_5': 1329069.117647059, 'Class_6': 1745845.3607843139, 'Class_7': 2905110.2509803926, 'Class_8': 7382855.043137254, 'Class_9': 3053312.5490196072, 'Class_10': 76851.76862745098}","{'Date': '2017-08-23', 'Class_1': 7113121.635294115, 'Class_2': 8692684.674509803, 'Class_3': 1501359.219607843, 'Class_4': 1389471.3686274511, 'Class_5': 3653517.9372549024, 'Class_6': 293185.3490196078, 'Class_7': 37569.31764705882, 'Class_8': 49625.33725490196, 'Class_9': 27925, 'Class_10': 27694}","{'Date': '2017-08-23', 'Class_1': 55403, 'Class_2': 530940.6196078431, 'Class_3': 2194086.9960784316, 'Class_4': 1333568.0117647056, 'Class_5': 874536.0509803923, 'Class_6': 810418.4392156864, 'Class_7': 968995.6705882351, 'Class_8': 1269507.2352941174, 'Class_9': 2015086.7098039216, 'Class_10': 12733611.105882354}","{'Date': '2017-08-23', 'Class_1': 28116, 'Class_2': 3757, 'Class_3': 5331, 'Class_4': 8390, 'Class_5': 32812.1137254902, 'Class_6': 808383.4156862744, 'Class_7': 2647547.77254902, 'Class_8': 1670041.2000000004, 'Class_9': 2353039.7529411763, 'Class_10': 15217584.584313726}","{'Date': '2017-08-23', 'Class_1': 112017.5019607843, 'Class_2': 3105907.0196078434, 'Class_3': 1711788.4705882354, 'Class_4': 1359607.3607843136, 'Class_5': 1768046.588235294, 'Class_6': 4523201.639215686, 'Class_7': 8447767.584313724, 'Class_8': 1730725.9568627449, 'Class_9': 4923.917647058824, 'Class_10': 21225.8}","{'Date': '2017-08-23', 'Class_1': 663731.1254901959, 'Class_2': 785775.1411764706, 'Class_3': 1113582.525490196, 'Class_4': 962161.5058823529, 'Class_5': 610310.1294117644, 'Class_6': 1627538.176470588, 'Class_7': 7443831.760784315, 'Class_8': 8946542.576470587, 'Class_9': 571485.2352941177, 'Class_10': 57673.66274509804}","{'Date': '2017-08-23', 'Class_1': 100, 'Class_2': 3110816.5647058827, 'Class_3': 6797437.113725492, 'Class_4': 6436416.596078432, 'Class_5': 1683894.3607843136, 'Class_6': 4516898.5764705865, 'Class_7': 176712.5137254902, 'Class_8': 23586.976470588233, 'Class_9': 7049.61568627451, 'Class_10': 4440}"
"{'Date': '2017-09-27', 'Class_1': 1752050.9019607848, 'Class_2': 1394326.5568627452, 'Class_3': 1170777.0156862747, 'Class_4': 1365412.5254901962, 'Class_5': 1845355.023529412, 'Class_6': 2838112.678431373, 'Class_7': 4804702.2, 'Class_8': 5519078.878431372, 'Class_9': 1365272.3607843136, 'Class_10': 38683.160784313724}","{'Date': '2017-09-27', 'Class_1': 1638697.3450980391, 'Class_2': 11845040.552941177, 'Class_3': 2730881.349019608, 'Class_4': 1683261.3882352938, 'Class_5': 3663942.478431372, 'Class_6': 400874.6117647059, 'Class_7': 48230.643137254905, 'Class_8': 62627.933333333334, 'Class_9': 15629, 'Class_10': 4586}","{'Date': '2017-09-27', 'Class_1': 36179.149019607845, 'Class_2': 425821.69803921564, 'Class_3': 1628755.1960784318, 'Class_4': 1368500.1647058823, 'Class_5': 1074172.705882353, 'Class_6': 1148109.5450980393, 'Class_7': 1621009.1333333335, 'Class_8': 2757976.7843137253, 'Class_9': 5231197.5372549025, 'Class_10': 6802049.388235295}","{'Date': '2017-09-27', 'Class_1': 10575, 'Class_2': 4358, 'Class_3': 7350, 'Class_4': 14117.149019607843, 'Class_5': 37416.6, 'Class_6': 544398.705882353, 'Class_7': 2203452.1333333333, 'Class_8': 2016763.3058823533, 'Class_9': 4109163.294117646, 'Class_10': 13144397.113725489}","{'Date': '2017-09-27', 'Class_1': 175458.23921568628, 'Class_2': 1772895.537254902, 'Class_3': 1873924.854901961, 'Class_4': 1409419.5294117648, 'Class_5': 1924227.137254902, 'Class_6': 3622503.643137256, 'Class_7': 5858639.329411765, 'Class_8': 4938416.160784314, 'Class_9': 127708.25098039216, 'Class_10': 380963.31372549024}","{'Date': '2017-09-27', 'Class_1': 270168.8352941177, 'Class_2': 545156.905882353, 'Class_3': 1285976.8352941177, 'Class_4': 1541317.4901960783, 'Class_5': 617777.5843137255, 'Class_6': 996081.619607843, 'Class_7': 6748163.3803921575, 'Class_8': 8601068.956862744, 'Class_9': 1373859.1294117644, 'Class_10': 113842.56470588234}","{'Date': '2017-09-27', 'Class_1': 100, 'Class_2': 2191062.0039215684, 'Class_3': 5056369.039215686, 'Class_4': 9247198.490196077, 'Class_5': 2119747.478431373, 'Class_6': 3359300.184313724, 'Class_7': 90255.88235294117, 'Class_8': 19166.37254901961, 'Class_9': 2685, 'Class_10': 1575}"
"{'Date': '2017-10-18', 'Class_1': 638721.2352941176, 'Class_2': 1259976.6352941175, 'Class_3': 1475780.5725490195, 'Class_4': 1832352.5803921572, 'Class_5': 3139714.909803922, 'Class_6': 6147696.839215686, 'Class_7': 4803627.450980393, 'Class_8': 1232573.3764705881, 'Class_9': 102883.70980392158, 'Class_10': 378.83529411764704}","{'Date': '2017-10-18', 'Class_1': 33007.70196078431, 'Class_2': 4132146.4, 'Class_3': 5385528.905882353, 'Class_4': 4817429.266666668, 'Class_5': 5557538.68627451, 'Class_6': 687606.9999999999, 'Class_7': 19343.18431372549, 'Class_8': 941, 'Class_9': 160, 'Class_10': 4}","{'Date': '2017-10-18', 'Class_1': 1027, 'Class_2': 210704.39607843137, 'Class_3': 1532709.043137255, 'Class_4': 1636007.8705882356, 'Class_5': 2304131.4431372546, 'Class_6': 3866508.152941176, 'Class_7': 4726434.117647059, 'Class_8': 3911303.0196078434, 'Class_9': 1989641.1725490196, 'Class_10': 455239.92941176484}","{'Date': '2017-10-18', 'Class_1': 67, 'Class_2': 92, 'Class_3': 285, 'Class_4': 726, 'Class_5': 7737.843137254902, 'Class_6': 283656.29411764705, 'Class_7': 2261514.407843137, 'Class_8': 4080666.4980392163, 'Class_9': 10452528.360784313, 'Class_10': 3546424.7411764716}","{'Date': '2017-10-18', 'Class_1': 740507.9294117647, 'Class_2': 905417.1333333333, 'Class_3': 1724710.5411764707, 'Class_4': 2045999.7098039216, 'Class_5': 3208811.6705882354, 'Class_6': 3430389.5019607847, 'Class_7': 2889640.4196078433, 'Class_8': 3673576.301960784, 'Class_9': 325022.32156862743, 'Class_10': 1624236.82745098}","{'Date': '2017-10-18', 'Class_1': 72822.40784313725, 'Class_2': 664053.7294117648, 'Class_3': 1973637.0313725488, 'Class_4': 2228785.6470588236, 'Class_5': 648093.3725490195, 'Class_6': 270110.3058823529, 'Class_7': 4025626.2901960793, 'Class_8': 8085938.82745098, 'Class_9': 2593995.564705882, 'Class_10': 70517.96862745097}","{'Date': '2017-10-18', 'Class_1': 8, 'Class_2': 863621.6431372546, 'Class_3': 2950497.749019607, 'Class_4': 12100965.647058822, 'Class_5': 2735995.6039215685, 'Class_6': 1963560.094117647, 'Class_7': 18224.57254901961, 'Class_8': 687.835294117647, 'Class_9': 32, 'Class_10': 36}"
"{'Date': '2018-03-15', 'Class_1': 217714.9803921569, 'Class_2': 595586.6509803922, 'Class_3': 1371870.2117647058, 'Class_4': 2339412.9607843133, 'Class_5': 3365899.0666666655, 'Class_6': 4063909.5019607847, 'Class_7': 3988402.4745098036, 'Class_8': 3484981.160784314, 'Class_9': 2431585.1372549017, 'Class_10': 931469.7686274508}","{'Date': '2018-03-15', 'Class_1': 21541.517647058823, 'Class_2': 1407418.0784313723, 'Class_3': 1546805.6431372548, 'Class_4': 2430378.6156862746, 'Class_5': 9127853.51372549, 'Class_6': 7828369.525490197, 'Class_7': 310960.0196078431, 'Class_8': 96851, 'Class_9': 19280, 'Class_10': 1374}","{'Date': '2018-03-15', 'Class_1': 106414, 'Class_2': 4440623.619607844, 'Class_3': 6303442.301960784, 'Class_4': 4812180.470588235, 'Class_5': 2710527.9372549024, 'Class_6': 1523514.2784313727, 'Class_7': 1053373.9019607843, 'Class_8': 1000518.0862745098, 'Class_9': 706443.1137254903, 'Class_10': 133794.2039215686}","{'Date': '2018-03-15', 'Class_1': 18084, 'Class_2': 18121, 'Class_3': 37608, 'Class_4': 34648, 'Class_5': 402048.3568627451, 'Class_6': 4716720.674509804, 'Class_7': 8314329.91372549, 'Class_8': 5351881.854901961, 'Class_9': 2726686.047058823, 'Class_10': 1169809.0666666667}","{'Date': '2018-03-15', 'Class_1': 2832317.3372549023, 'Class_2': 2072901.568627451, 'Class_3': 4840259.564705881, 'Class_4': 3700388.874509804, 'Class_5': 2339642.1019607848, 'Class_6': 1662156.9411764704, 'Class_7': 1234465.1058823527, 'Class_8': 2115124.792156863, 'Class_9': 276070.40392156865, 'Class_10': 1626327.8862745098}","{'Date': '2018-03-15', 'Class_1': 2232609.6039215694, 'Class_2': 4530276.811764705, 'Class_3': 5671987.274509804, 'Class_4': 4184887.5843137256, 'Class_5': 1558439.7098039216, 'Class_6': 236729.93333333338, 'Class_7': 454086.1725490196, 'Class_8': 1285396.4941176472, 'Class_9': 2009469.0980392154, 'Class_10': 626494.2352941177}","{'Date': '2018-03-15', 'Class_1': 1696781.5568627452, 'Class_2': 6411618.807843137, 'Class_3': 3637074.925490196, 'Class_4': 7434115.133333332, 'Class_5': 2403329.2352941176, 'Class_6': 1166970.1019607843, 'Class_7': 29427.15294117647, 'Class_8': 9273, 'Class_9': 1049, 'Class_10': 235}"
"{'Date': '2018-03-29', 'Class_1': 258461.0705882353, 'Class_2': 2917553.635294118, 'Class_3': 8362346.905882354, 'Class_4': 5924591.0470588235, 'Class_5': 2889805.874509804, 'Class_6': 1107478.129411765, 'Class_7': 394725.30980392155, 'Class_8': 261956.694117647, 'Class_9': 280837.66274509806, 'Class_10': 204376.4784313725}","{'Date': '2018-03-29', 'Class_1': 10784.835294117645, 'Class_2': 1165702.207843137, 'Class_3': 2015881.17254902, 'Class_4': 4290414.505882353, 'Class_5': 13626275.4, 'Class_6': 1463298.4705882352, 'Class_7': 25183.215686274507, 'Class_8': 4593, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-03-29', 'Class_1': 4007, 'Class_2': 306153.1725490197, 'Class_3': 3150743.384313726, 'Class_4': 8669453.835294118, 'Class_5': 6018246.25882353, 'Class_6': 2319908.7529411763, 'Class_7': 1158172.2274509806, 'Class_8': 686478.11372549, 'Class_9': 258981.22352941183, 'Class_10': 29988.839215686276}","{'Date': '2018-03-29', 'Class_1': 175, 'Class_2': 1968, 'Class_3': 810, 'Class_4': 1277, 'Class_5': 18452.56862745098, 'Class_6': 396651.1529411766, 'Class_7': 7036311.356862745, 'Class_8': 11596235.70588235, 'Class_9': 3079389.478431373, 'Class_10': 470862.5450980393}","{'Date': '2018-03-29', 'Class_1': 492984.91372549004, 'Class_2': 499232.61176470586, 'Class_3': 5998750.7137254905, 'Class_4': 6103576.945098039, 'Class_5': 3819854.7137254896, 'Class_6': 2282171.4274509805, 'Class_7': 1153903.1607843135, 'Class_8': 1280271.7254901961, 'Class_9': 141177.78431372548, 'Class_10': 793101.5921568626}","{'Date': '2018-03-29', 'Class_1': 195282.12549019608, 'Class_2': 470278.88235294115, 'Class_3': 5044928.498039217, 'Class_4': 7131495.525490196, 'Class_5': 4915309.4745098045, 'Class_6': 515386.01960784313, 'Class_7': 1197009.4784313727, 'Class_8': 2123013.117647059, 'Class_9': 889564.9215686272, 'Class_10': 119744.76470588247}","{'Date': '2018-03-29', 'Class_1': 263396.6156862744, 'Class_2': 473312.1058823527, 'Class_3': 330788.8549019608, 'Class_4': 6846918.023529411, 'Class_5': 8094129.721568627, 'Class_6': 6587464.486274511, 'Class_7': 6051, 'Class_8': 68, 'Class_9': 4, 'Class_10': 0}"
