EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.56,0.76,0.66,0.65,0.44,-0.63,0.56,0.63,2017-04-19,1.54,0.83,0.64,0.70,0.46,-0.67,0.60,0.65,1.54,0.89,0.58,0.78,0.44,-0.67,0.60,0.60,-100.00,-4.95,0.08,-0.94,-0.99,-1.00,-5.00,-4.94,100.00,1.00,6.00,1.00,1.00,0.98,4.99,4.81,2.01,0.19,0.27,0.21,0.22,0.16,0.17,0.09
1.56,0.79,0.59,0.69,0.49,-0.65,0.58,0.64,2017-05-10,1.61,0.86,0.55,0.77,0.54,-0.70,0.60,0.65,1.61,0.89,0.52,0.81,0.57,-0.72,0.60,0.60,-100.00,-5.00,0.09,-0.99,-1.00,-1.00,-5.00,-5.00,100.00,1.00,6.00,1.00,0.97,0.99,5.00,5.00,0.83,0.22,0.26,0.22,0.22,0.17,0.18,0.11
1.77,0.83,0.53,0.74,0.56,-0.69,0.60,0.64,2017-06-14,1.65,0.89,0.45,0.82,0.63,-0.73,0.60,0.65,1.65,0.92,0.42,0.86,0.68,-0.79,0.60,0.60,-100.00,-5.00,0.13,-1.00,-1.00,-1.00,-4.90,-5.00,100.00,1.00,6.00,1.00,0.89,1.00,4.90,5.00,0.88,0.19,0.23,0.20,0.20,0.17,0.14,0.10
1.78,0.76,0.62,0.65,0.49,-0.62,0.55,0.60,2017-07-19,2.33,0.86,0.55,0.75,0.56,-0.68,0.60,0.61,2.33,0.92,0.45,0.86,0.65,-0.74,0.60,0.61,-100.00,-5.00,0.17,-0.99,-0.99,-1.00,-3.80,-0.99,100.00,1.00,5.99,1.00,0.86,0.99,4.32,4.70,1.72,0.22,0.23,0.25,0.19,0.18,0.13,0.06
1.58,0.75,0.69,0.67,0.45,-0.64,0.54,0.58,2017-07-26,1.66,0.89,0.55,0.82,0.57,-0.72,0.60,0.60,2.24,0.95,0.45,0.93,0.68,-0.81,0.60,0.60,-100.00,-5.00,0.19,-1.00,-1.00,-1.00,-5.00,-5.00,100.00,1.00,6.00,1.00,0.97,1.00,5.00,5.00,0.99,0.30,0.34,0.30,0.27,0.23,0.17,0.13
1.62,0.76,0.69,0.68,0.45,-0.65,0.52,0.62,2017-08-23,1.66,0.93,0.55,0.84,0.57,-0.75,0.60,0.60,2.24,0.95,0.42,0.90,0.68,-0.81,0.60,0.60,-100.00,-5.00,0.17,-1.00,-0.99,-1.00,-5.00,-5.00,100.00,1.00,6.00,1.00,0.97,1.00,5.00,5.00,1.02,0.29,0.35,0.29,0.29,0.22,0.21,0.14
1.87,0.74,0.67,0.63,0.44,-0.59,0.53,0.63,2017-09-27,2.37,0.83,0.58,0.72,0.52,-0.65,0.60,0.60,2.37,0.89,0.48,0.82,0.64,-0.71,0.60,0.60,-100.00,-5.00,0.19,-1.00,-0.99,-1.00,-4.90,-5.00,100.00,1.00,6.00,1.00,1.00,1.00,5.00,5.00,2.23,0.23,0.29,0.25,0.24,0.19,0.19,0.10
1.99,0.64,0.67,0.50,0.39,-0.47,0.52,0.66,2017-10-18,1.53,0.67,0.61,0.52,0.44,-0.49,0.60,0.66,1.53,0.73,0.58,0.57,0.48,-0.54,0.65,0.66,-100.00,-5.00,0.17,-1.00,-1.00,-1.00,-4.50,-3.97,100.00,1.00,6.00,1.00,0.81,0.85,4.87,4.97,5.61,0.18,0.21,0.18,0.17,0.15,0.21,0.08
1.21,0.37,0.53,0.26,0.48,-0.28,0.25,0.75,2018-03-15,0.59,0.36,0.48,0.21,0.49,-0.25,0.16,0.72,0.59,0.27,0.39,0.14,0.47,-0.20,0.09,0.72,-100.00,-5.00,0.02,-0.99,-0.99,-1.00,-4.99,-5.00,100.00,1.00,6.00,1.00,0.95,0.99,4.96,5.00,6.33,0.23,0.26,0.19,0.20,0.18,0.25,0.12
1.33,0.47,0.86,0.31,0.23,-0.36,0.32,0.65,2018-03-29,1.40,0.45,0.88,0.29,0.20,-0.35,0.28,0.66,0.71,0.43,1.04,0.27,0.15,-0.36,0.22,0.66,-100.00,-1.05,0.04,-0.34,-0.62,-1.00,-4.88,-4.79,100.00,1.00,3.01,1.00,0.93,0.40,5.00,5.00,4.05,0.14,0.21,0.13,0.15,0.13,0.18,0.09
