EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.57,0.76,0.66,0.65,0.44,-0.63,0.56,0.63,2017-04-19,1.66,0.85,0.65,0.70,0.46,-0.67,0.56,0.63,1.66,0.91,0.65,0.78,0.44,-0.67,0.56,0.63,-23395.00,-10.02,0.08,-0.94,-0.99,-1.00,-88.76,-219.63,13355.00,1.00,344.50,1.00,1.00,0.98,220.53,82.38,19.86,0.19,0.57,0.21,0.22,0.16,0.21,0.15
1.56,0.79,0.62,0.69,0.49,-0.65,0.58,0.64,2017-05-10,1.58,0.83,0.60,0.77,0.54,-0.70,0.58,0.64,1.58,0.91,0.60,0.81,0.57,-0.72,0.58,0.64,-9340.00,-15.77,0.09,-0.99,-1.00,-1.00,-54.10,-87.00,6055.00,1.00,4772.00,1.00,0.97,0.99,87.90,55.00,5.29,0.25,2.25,0.22,0.22,0.17,0.22,0.17
1.77,0.83,0.60,0.74,0.56,-0.69,0.60,0.64,2017-06-14,1.79,0.93,0.53,0.82,0.63,-0.73,0.64,0.65,1.79,0.93,0.53,0.86,0.68,-0.79,0.64,0.65,-7975.00,-28.83,0.13,-1.00,-1.00,-1.00,-80.06,-40.00,16160.00,1.00,710.00,1.00,0.89,1.00,40.90,80.96,6.15,0.37,2.93,0.20,0.20,0.17,0.16,0.12
1.78,0.76,0.63,0.65,0.49,-0.62,0.55,0.60,2017-07-19,1.84,0.83,0.62,0.75,0.56,-0.68,0.61,0.61,1.84,0.92,0.62,0.86,0.65,-0.74,0.61,0.61,-34160.00,-18.20,0.17,-0.99,-0.99,-1.00,-49.47,-0.99,21025.00,1.00,442.00,1.00,0.86,0.99,9.93,50.37,22.32,0.25,1.09,0.25,0.19,0.18,0.13,0.07
1.58,0.74,0.82,0.67,0.45,-0.64,0.54,0.58,2017-07-26,1.60,0.94,0.69,0.82,0.57,-0.72,0.54,0.59,1.60,0.94,0.69,0.93,0.68,-0.81,0.54,0.59,-9805.00,-28.45,0.19,-1.00,-1.00,-1.00,-70.10,-109.00,8100.00,1.00,861.00,1.00,0.97,1.00,109.90,71.00,6.02,0.44,3.08,0.30,0.27,0.23,0.25,0.23
1.62,0.76,0.74,0.68,0.45,-0.65,0.52,0.62,2017-08-23,1.63,0.94,0.69,0.84,0.57,-0.75,0.53,0.62,1.63,0.94,0.69,0.90,0.68,-0.81,0.53,0.62,-5700.00,-28.05,0.17,-1.00,-0.99,-1.00,-70.10,-87.00,7687.50,1.00,451.00,1.00,0.97,1.00,87.90,71.00,4.70,0.36,1.92,0.29,0.29,0.22,0.28,0.24
1.88,0.74,0.69,0.63,0.44,-0.59,0.53,0.63,2017-09-27,1.96,0.83,0.67,0.72,0.52,-0.65,0.54,0.63,1.96,0.92,0.67,0.82,0.64,-0.71,0.54,0.63,-27020.00,-27.07,0.19,-1.00,-0.99,-1.00,-103.00,-103.00,18880.00,1.00,369.00,1.00,1.00,1.00,37.17,47.67,24.96,0.25,1.45,0.25,0.24,0.19,0.20,0.11
1.99,0.64,0.68,0.50,0.39,-0.47,0.52,0.66,2017-10-18,2.63,0.65,0.67,0.52,0.44,-0.49,0.52,0.66,2.63,0.65,0.67,0.57,0.48,-0.54,0.52,0.66,-27980.00,-33.92,0.17,-1.00,-1.00,-1.00,-964.96,-66.03,27870.00,1.00,3101.00,1.00,0.81,0.85,965.86,965.86,71.88,0.18,1.53,0.18,0.17,0.15,0.48,0.44
1.23,0.37,0.53,0.26,0.48,-0.28,0.25,0.75,2018-03-15,2.34,0.31,0.50,0.21,0.49,-0.25,0.29,0.75,2.34,0.31,0.50,0.14,0.47,-0.20,0.29,0.75,-24305.00,-15.36,0.02,-0.99,-0.99,-1.00,-267.43,-987.44,18650.00,1.00,189.00,1.00,0.95,0.99,988.34,268.33,70.82,0.24,0.38,0.19,0.20,0.18,0.50,0.45
1.34,0.47,0.86,0.31,0.23,-0.36,0.32,0.65,2018-03-29,1.60,0.45,0.88,0.29,0.20,-0.35,0.33,0.65,1.60,0.43,1.04,0.27,0.15,-0.36,0.33,0.65,-16735.00,-1.05,0.04,-0.34,-0.62,-1.00,-213.91,-493.17,15675.00,1.00,3.01,1.00,0.93,0.40,494.07,214.81,41.57,0.14,0.21,0.13,0.15,0.13,0.30,0.26
1.11,0.61,0.92,0.46,0.25,-0.51,0.46,0.58,2018-04-05,1.15,0.61,0.98,0.46,0.20,-0.52,0.47,0.58,1.15,0.64,1.11,0.45,0.13,-0.53,0.47,0.58,-10210.00,-3.96,0.04,-0.66,-0.65,-0.90,-110.32,-23.92,12140.00,0.98,5.26,0.97,0.95,0.73,24.82,111.22,12.83,0.18,0.28,0.18,0.20,0.15,0.17,0.12
1.35,0.67,0.82,0.53,0.31,-0.55,0.50,0.61,2018-04-12,1.39,0.70,0.82,0.54,0.29,-0.57,0.52,0.61,1.39,0.70,0.82,0.50,0.22,-0.59,0.52,0.61,-8976.67,-6.37,0.08,-0.76,-0.99,-1.00,-182.53,-85.48,9030.00,1.00,349.50,1.00,0.99,0.72,86.38,183.43,12.62,0.19,0.32,0.19,0.21,0.15,0.24,0.18
1.72,0.73,0.73,0.60,0.38,-0.57,0.53,0.61,2018-04-19,1.74,0.78,0.72,0.64,0.40,-0.60,0.53,0.61,1.74,0.84,0.72,0.72,0.39,-0.61,0.53,0.61,-8545.00,-8.82,0.23,-0.88,-0.81,-0.87,-336.03,-27.57,10355.00,0.97,9.54,0.94,0.81,0.95,15.56,336.93,6.35,0.19,0.24,0.19,0.20,0.15,0.23,0.19
1.99,0.76,0.58,0.64,0.49,-0.58,0.58,0.66,2018-04-26,2.03,0.83,0.58,0.70,0.55,-0.62,0.58,0.66,2.03,0.86,0.58,0.77,0.60,-0.67,0.58,0.66,-16255.00,-5.70,0.16,-0.74,-1.00,-1.00,-487.28,-487.28,23710.00,1.00,5205.00,1.00,0.87,0.68,488.18,98.80,14.84,0.19,2.21,0.20,0.20,0.16,0.28,0.23
2.00,0.80,0.55,0.70,0.52,-0.64,0.59,0.67,2018-05-03,2.03,0.89,0.50,0.78,0.60,-0.69,0.65,0.67,2.03,0.92,0.50,0.88,0.65,-0.73,0.65,0.67,-10770.00,-3.50,0.19,-0.64,-0.98,-0.97,-46.14,-46.14,9135.00,0.98,204.00,0.97,0.84,0.78,25.01,25.01,7.40,0.20,0.27,0.22,0.22,0.17,0.18,0.08
2.24,0.82,0.53,0.73,0.54,-0.67,0.60,0.67,2018-05-10,2.30,0.91,0.53,0.82,0.63,-0.72,0.62,0.67,2.30,0.91,0.53,0.89,0.70,-0.77,0.62,0.67,-29560.00,-11.16,0.16,-0.98,-0.99,-1.00,-71.20,-91.00,24235.00,1.00,455.00,1.00,0.88,0.98,91.90,72.10,23.72,0.20,0.38,0.22,0.23,0.17,0.21,0.12
2.17,0.82,0.52,0.73,0.55,-0.67,0.60,0.67,2018-05-17,2.24,0.89,0.47,0.80,0.63,-0.72,0.66,0.67,2.24,0.92,0.47,0.87,0.69,-0.75,0.66,0.67,-22845.00,-3.27,0.14,-0.62,-0.99,-1.00,-50.95,-46.73,37365.00,1.00,187.00,1.00,0.89,0.78,51.85,51.85,26.58,0.19,0.26,0.21,0.22,0.17,0.19,0.10
2.15,0.80,0.52,0.69,0.55,-0.63,0.61,0.67,2018-05-24,2.19,0.85,0.45,0.75,0.61,-0.68,0.61,0.67,2.19,0.91,0.41,0.83,0.68,-0.70,0.61,0.67,-33600.00,-2.54,0.15,-0.56,-0.57,-1.00,-135.39,-0.23,17942.50,1.00,3.06,1.00,0.88,0.66,136.29,136.29,16.42,0.17,0.21,0.19,0.19,0.16,0.17,0.09
1.98,0.81,0.57,0.71,0.52,-0.66,0.58,0.64,2018-05-31,2.00,0.92,0.57,0.79,0.60,-0.71,0.59,0.64,2.00,0.92,0.57,0.83,0.68,-0.71,0.59,0.64,-10995.00,-15.48,0.15,-0.99,-0.99,-1.00,-3118.10,-37.99,9236.67,1.00,260.00,1.00,0.99,0.99,427.90,3119.00,5.86,0.20,0.45,0.20,0.21,0.17,1.33,1.33
1.82,0.76,0.68,0.65,0.44,-0.63,0.54,0.60,2018-06-28,1.83,0.83,0.73,0.72,0.46,-0.67,0.55,0.60,1.83,0.92,0.73,0.89,0.68,-0.74,0.55,0.60,-8830.00,-5.05,0.16,-0.76,-0.97,-1.00,-463.33,-49.01,8143.75,1.00,117.00,1.00,0.85,0.89,128.88,464.23,6.90,0.21,0.28,0.23,0.22,0.17,0.29,0.27
1.63,0.68,0.78,0.56,0.37,-0.56,0.49,0.59,2018-07-19,1.65,0.77,0.73,0.64,0.39,-0.61,0.60,0.61,1.65,0.90,0.45,0.81,0.66,-0.71,0.60,0.61,-9250.00,-2.49,0.17,-0.56,-0.64,-0.98,-68.25,-55.54,22645.00,0.99,5.49,0.98,0.85,0.76,56.44,69.15,12.96,0.24,0.31,0.25,0.25,0.18,0.17,0.11
1.38,0.64,0.85,0.51,0.33,-0.53,0.47,0.57,2018-08-02,1.40,0.71,0.84,0.55,0.30,-0.57,0.47,0.57,1.40,0.88,0.47,0.79,0.65,-0.69,0.47,0.57,-16655.00,-2.61,0.24,-0.57,-0.82,-1.00,-36.39,-97.33,5355.00,0.98,12.15,0.96,0.83,0.71,98.23,37.29,6.32,0.25,0.32,0.25,0.26,0.18,0.17,0.12
1.65,0.60,0.84,0.46,0.29,-0.49,0.47,0.62,2018-08-09,1.75,0.65,0.83,0.48,0.28,-0.50,0.47,0.65,1.75,0.82,0.48,0.14,0.55,-0.29,0.47,0.65,-19110.00,-1.97,0.22,-0.50,-0.54,-1.00,-71.06,-0.66,26150.00,0.97,5.84,0.94,0.80,0.70,71.96,71.96,30.20,0.22,0.30,0.22,0.23,0.16,0.20,0.10
1.29,0.61,0.90,0.49,0.28,-0.52,0.44,0.59,2018-08-16,1.33,0.66,0.62,0.50,0.24,-0.54,0.45,0.59,1.33,0.90,0.62,0.13,0.66,-0.27,0.45,0.59,-19025.00,-14.06,0.17,-0.98,-0.99,-0.92,-49.93,-929.13,15270.00,0.98,194.00,0.96,0.94,0.99,930.03,50.83,12.44,0.26,0.40,0.26,0.27,0.19,0.44,0.41
1.37,0.64,0.90,0.52,0.29,-0.54,0.43,0.61,2018-08-23,1.39,0.69,0.74,0.55,0.25,-0.57,0.45,0.61,1.39,0.91,1.25,0.14,0.68,-0.29,0.45,0.61,-9950.00,-16.23,0.14,-0.99,-0.98,-0.96,-47.57,-90.29,10247.50,0.98,121.00,0.97,0.86,0.99,91.19,48.47,7.37,0.27,0.40,0.27,0.30,0.19,0.21,0.14
1.56,0.65,0.85,0.52,0.29,-0.52,0.44,0.64,2018-09-06,1.61,0.73,0.83,0.58,0.29,-0.56,0.46,0.64,1.61,0.88,0.45,0.14,0.65,-0.68,0.46,0.64,-14230.00,-1.96,0.18,-0.50,-0.59,-1.00,-33.37,-100.85,19875.00,0.97,4.96,0.95,0.97,0.67,101.75,34.27,15.03,0.24,0.32,0.25,0.27,0.18,0.24,0.14
1.56,0.63,0.87,0.50,0.27,-0.50,0.43,0.64,2018-09-13,1.60,0.73,0.87,0.56,0.28,-0.54,0.46,0.64,1.60,0.83,0.87,0.13,-0.09,-0.61,0.46,0.64,-19705.00,-3.31,0.21,-0.62,-1.00,-1.00,-170.48,-34.13,21490.00,1.00,3821.00,1.00,0.82,0.59,171.38,171.38,14.72,0.23,1.81,0.23,0.25,0.18,0.24,0.15
2.26,0.61,0.79,0.47,0.30,-0.46,0.47,0.66,2018-09-20,2.56,0.66,0.67,0.51,0.31,-0.47,0.48,0.66,2.56,0.72,0.67,0.16,0.00,-0.52,0.48,0.66,-25315.00,-7.61,0.10,-0.93,-0.99,-1.00,-28.53,-314.33,25370.00,1.00,223.00,1.00,0.88,0.97,315.23,43.33,63.62,0.21,0.31,0.21,0.22,0.16,0.27,0.17
2.17,0.59,0.78,0.44,0.29,-0.43,0.46,0.70,2018-10-04,2.41,0.66,0.78,0.48,0.32,-0.45,0.50,0.70,2.41,0.66,0.78,0.14,0.47,-0.49,0.50,0.70,-20815.00,-46.67,0.20,-1.00,-1.00,-1.00,-74.37,-29.59,17325.00,1.00,15191.00,1.00,0.87,0.89,58.35,75.27,52.95,0.19,6.18,0.18,0.20,0.14,0.28,0.12
